dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,1000,1,1.0,True,0,0.3904761904761905,2.253,65.1898,67.4428,ok
HandMovementDirection,stl_tree,1000,1,1.0,True,0,0.2773809523809524,5.3453,65.1898,70.5351,ok
HandMovementDirection,stl_linear,1000,1,1.0,True,1,0.4642857142857143,1.9825,61.5283,63.5108,ok
HandMovementDirection,stl_tree,1000,1,1.0,True,1,0.344047619047619,2.6982,61.5283,64.2265,ok
HandMovementDirection,stl_linear,1000,1,1.0,True,2,0.39642857142857135,1.8788,60.9902,62.869,ok
HandMovementDirection,stl_tree,1000,1,1.0,True,2,0.26190476190476186,2.5076,60.9902,63.4978,ok
HandMovementDirection,stl_linear,1000,1,1.0,True,3,0.3952380952380952,1.938,60.049,61.987,ok
HandMovementDirection,stl_tree,1000,1,1.0,True,3,0.28809523809523807,2.5872,60.049,62.6362,ok
HandMovementDirection,stl_linear,1000,1,1.0,True,4,0.4214285714285714,2.0831,63.0782,65.1613,ok
HandMovementDirection,stl_tree,1000,1,1.0,True,4,0.26666666666666666,2.6215,63.0782,65.6997,ok
HandMovementDirection,stl_linear,1000,1,1.0,True,5,0.25,2.0892,58.1644,60.2536,ok
HandMovementDirection,stl_tree,1000,1,1.0,True,5,0.33214285714285713,2.5827,58.1644,60.7471,ok
HandMovementDirection,stl_linear,1000,1,1.0,True,6,0.37857142857142856,2.0466,64.2359,66.2825,ok
HandMovementDirection,stl_tree,1000,1,1.0,True,6,0.25595238095238093,2.5859,64.2359,66.8218,ok
HandMovementDirection,stl_linear,1000,1,1.0,True,7,0.48333333333333334,1.9693,59.5995,61.5688,ok
HandMovementDirection,stl_tree,1000,1,1.0,True,7,0.3214285714285714,2.5824,59.5995,62.1819,ok
HandMovementDirection,stl_linear,1000,1,1.0,True,8,0.40476190476190477,2.1923,67.1943,69.3866,ok
HandMovementDirection,stl_tree,1000,1,1.0,True,8,0.2142857142857143,2.5338,67.1943,69.7281,ok
HandMovementDirection,stl_linear,1000,1,1.0,True,9,0.25,2.1593,73.0069,75.1662,ok
HandMovementDirection,stl_tree,1000,1,1.0,True,9,0.2857142857142857,2.6697,73.0069,75.6766,ok
