dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,10000,1,1.0,True,0,0.42023809523809524,7.8417,678.5574,686.3991,ok
HandMovementDirection,stl_tree,10000,1,1.0,True,0,0.294047619047619,26.4501,678.5574,705.0075,ok
HandMovementDirection,stl_linear,10000,1,1.0,True,1,0.43690476190476185,6.7643,564.237,571.0013,ok
HandMovementDirection,stl_tree,10000,1,1.0,True,1,0.27499999999999997,26.0525,564.237,590.2895,ok
HandMovementDirection,stl_linear,10000,1,1.0,True,2,0.4809523809523809,7.6748,485.3583,493.0331,ok
HandMovementDirection,stl_tree,10000,1,1.0,True,2,0.29047619047619044,26.0748,485.3583,511.4331,ok
HandMovementDirection,stl_linear,10000,1,1.0,True,3,0.45357142857142857,7.1696,470.4441,477.6137,ok
HandMovementDirection,stl_tree,10000,1,1.0,True,3,0.3666666666666667,26.6541,470.4441,497.0982,ok
HandMovementDirection,stl_linear,10000,1,1.0,True,4,0.4642857142857143,7.5486,487.1076,494.6562,ok
HandMovementDirection,stl_tree,10000,1,1.0,True,4,0.28095238095238095,25.5624,487.1076,512.67,ok
HandMovementDirection,stl_linear,10000,1,1.0,True,5,0.4547619047619047,6.9525,467.57,474.5225,ok
HandMovementDirection,stl_tree,10000,1,1.0,True,5,0.3511904761904762,25.1658,467.57,492.7358,ok
HandMovementDirection,stl_linear,10000,1,1.0,True,6,0.48214285714285715,7.1765,488.023,495.1995,ok
HandMovementDirection,stl_tree,10000,1,1.0,True,6,0.27976190476190477,25.7034,488.023,513.7264,ok
HandMovementDirection,stl_linear,10000,1,1.0,True,7,0.5178571428571428,6.7784,472.4373,479.2157,ok
HandMovementDirection,stl_tree,10000,1,1.0,True,7,0.2511904761904762,26.9835,472.4373,499.4208,ok
HandMovementDirection,stl_linear,10000,1,1.0,True,8,0.44523809523809516,6.9653,485.4444,492.4097,ok
HandMovementDirection,stl_tree,10000,1,1.0,True,8,0.2857142857142857,25.4028,485.4444,510.8472,ok
HandMovementDirection,stl_linear,10000,1,1.0,True,9,0.38452380952380955,6.8937,468.8254,475.7191,ok
HandMovementDirection,stl_tree,10000,1,1.0,True,9,0.2857142857142857,27.3081,468.8254,496.1335,ok
