dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,10,2,1.0,True,0,0.23690476190476192,0.5653,1.4091,1.9744,ok
HandMovementDirection,stl_tree,10,2,1.0,True,0,0.27619047619047615,2.8308,1.4091,4.2399,ok
HandMovementDirection,stl_linear,10,2,1.0,True,1,0.2833333333333333,0.5779,1.0742,1.6521,ok
HandMovementDirection,stl_tree,10,2,1.0,True,1,0.2107142857142857,0.2748,1.0742,1.349,ok
HandMovementDirection,stl_linear,10,2,1.0,True,2,0.25,0.7068,0.7049,1.4117,ok
HandMovementDirection,stl_tree,10,2,1.0,True,2,0.20476190476190476,0.2691,0.7049,0.974,ok
HandMovementDirection,stl_linear,10,2,1.0,True,3,0.29166666666666663,0.5085,1.1098,1.6183,ok
HandMovementDirection,stl_tree,10,2,1.0,True,3,0.27142857142857146,0.2411,1.1098,1.3509,ok
HandMovementDirection,stl_linear,10,2,1.0,True,4,0.2095238095238095,0.5343,1.4404,1.9747,ok
HandMovementDirection,stl_tree,10,2,1.0,True,4,0.2619047619047619,0.2576,1.4404,1.698,ok
HandMovementDirection,stl_linear,10,2,1.0,True,5,0.25,0.5442,0.6291,1.1733,ok
HandMovementDirection,stl_tree,10,2,1.0,True,5,0.2869047619047619,0.2487,0.6291,0.8778,ok
HandMovementDirection,stl_linear,10,2,1.0,True,6,0.25,0.6,0.5588,1.1588,ok
HandMovementDirection,stl_tree,10,2,1.0,True,6,0.275,0.2375,0.5588,0.7963,ok
HandMovementDirection,stl_linear,10,2,1.0,True,7,0.25,1.0271,0.8735,1.9006,ok
HandMovementDirection,stl_tree,10,2,1.0,True,7,0.26309523809523805,0.2355,0.8735,1.109,ok
HandMovementDirection,stl_linear,10,2,1.0,True,8,0.2785714285714285,0.594,1.216,1.81,ok
HandMovementDirection,stl_tree,10,2,1.0,True,8,0.34404761904761905,0.2325,1.216,1.4485,ok
HandMovementDirection,stl_linear,10,2,1.0,True,9,0.29523809523809524,0.4989,1.1196,1.6185,ok
HandMovementDirection,stl_tree,10,2,1.0,True,9,0.25476190476190474,0.2448,1.1196,1.3644,ok
