dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,100,2,1.0,True,0,0.25,1.4397,7.5342,8.9739,ok
HandMovementDirection,stl_tree,100,2,1.0,True,0,0.18571428571428572,3.0897,7.5342,10.6239,ok
HandMovementDirection,stl_linear,100,2,1.0,True,1,0.3238095238095238,1.3754,10.0986,11.474,ok
HandMovementDirection,stl_tree,100,2,1.0,True,1,0.2892857142857143,0.5294,10.0986,10.628,ok
HandMovementDirection,stl_linear,100,2,1.0,True,2,0.26666666666666666,1.4652,6.8088,8.274,ok
HandMovementDirection,stl_tree,100,2,1.0,True,2,0.23452380952380952,0.472,6.8088,7.2808,ok
HandMovementDirection,stl_linear,100,2,1.0,True,3,0.37976190476190474,1.4122,8.1098,9.522,ok
HandMovementDirection,stl_tree,100,2,1.0,True,3,0.25476190476190474,0.4633,8.1098,8.5731,ok
HandMovementDirection,stl_linear,100,2,1.0,True,4,0.27976190476190477,1.5763,4.8662,6.4425,ok
HandMovementDirection,stl_tree,100,2,1.0,True,4,0.24404761904761907,0.4862,4.8662,5.3524,ok
HandMovementDirection,stl_linear,100,2,1.0,True,5,0.3130952380952381,1.3923,8.6773,10.0696,ok
HandMovementDirection,stl_tree,100,2,1.0,True,5,0.26904761904761904,0.4683,8.6773,9.1456,ok
HandMovementDirection,stl_linear,100,2,1.0,True,6,0.3130952380952381,1.8714,7.4346,9.306,ok
HandMovementDirection,stl_tree,100,2,1.0,True,6,0.17976190476190476,0.5235,7.4346,7.9581,ok
HandMovementDirection,stl_linear,100,2,1.0,True,7,0.31190476190476185,1.5543,6.2065,7.7608,ok
HandMovementDirection,stl_tree,100,2,1.0,True,7,0.38095238095238093,0.4773,6.2065,6.6838,ok
HandMovementDirection,stl_linear,100,2,1.0,True,8,0.24166666666666664,1.6159,7.7984,9.4143,ok
HandMovementDirection,stl_tree,100,2,1.0,True,8,0.3404761904761905,0.4767,7.7984,8.2751,ok
HandMovementDirection,stl_linear,100,2,1.0,True,9,0.2654761904761905,1.5445,10.7728,12.3173,ok
HandMovementDirection,stl_tree,100,2,1.0,True,9,0.319047619047619,0.4721,10.7728,11.2449,ok
