dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,10000,2,1.0,True,0,0.4619047619047619,5.8328,738.1706,744.0034,ok
HandMovementDirection,stl_tree,10000,2,1.0,True,0,0.25357142857142856,25.0707,738.1706,763.2413,ok
HandMovementDirection,stl_linear,10000,2,1.0,True,1,0.45357142857142857,5.4816,727.7289,733.2105,ok
HandMovementDirection,stl_tree,10000,2,1.0,True,1,0.2785714285714285,27.3691,727.7289,755.098,ok
HandMovementDirection,stl_linear,10000,2,1.0,True,2,0.5238095238095237,6.0776,682.6542,688.7318,ok
HandMovementDirection,stl_tree,10000,2,1.0,True,2,0.3142857142857143,24.9225,682.6542,707.5767,ok
HandMovementDirection,stl_linear,10000,2,1.0,True,3,0.4809523809523809,5.835,689.3764,695.2114,ok
HandMovementDirection,stl_tree,10000,2,1.0,True,3,0.2702380952380952,26.6492,689.3764,716.0256,ok
HandMovementDirection,stl_linear,10000,2,1.0,True,4,0.41428571428571426,5.6013,704.3631,709.9644,ok
HandMovementDirection,stl_tree,10000,2,1.0,True,4,0.3297619047619047,25.3632,704.3631,729.7263,ok
HandMovementDirection,stl_linear,10000,2,1.0,True,5,0.45,6.0272,720.306,726.3332,ok
HandMovementDirection,stl_tree,10000,2,1.0,True,5,0.3535714285714286,26.7614,720.306,747.0674,ok
HandMovementDirection,stl_linear,10000,2,1.0,True,6,0.455952380952381,5.5109,693.6162,699.1271,ok
HandMovementDirection,stl_tree,10000,2,1.0,True,6,0.2523809523809524,25.3329,693.6162,718.9491,ok
HandMovementDirection,stl_linear,10000,2,1.0,True,7,0.5166666666666666,5.7607,719.147,724.9077,ok
HandMovementDirection,stl_tree,10000,2,1.0,True,7,0.30238095238095236,25.6939,719.147,744.8409,ok
HandMovementDirection,stl_linear,10000,2,1.0,True,8,0.3761904761904762,5.7581,688.6592,694.4173,ok
HandMovementDirection,stl_tree,10000,2,1.0,True,8,0.24285714285714285,25.8725,688.6592,714.5317,ok
HandMovementDirection,stl_linear,10000,2,1.0,True,9,0.5511904761904762,5.7352,681.877,687.6122,ok
HandMovementDirection,stl_tree,10000,2,1.0,True,9,0.35714285714285715,26.0523,681.877,707.9293,ok
