dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,10,3,1.0,True,0,0.37976190476190474,0.566,1.4375,2.0035,ok
HandMovementDirection,stl_tree,10,3,1.0,True,0,0.21904761904761905,3.1266,1.4375,4.5641,ok
HandMovementDirection,stl_linear,10,3,1.0,True,1,0.25,0.6826,1.6722,2.3548,ok
HandMovementDirection,stl_tree,10,3,1.0,True,1,0.32857142857142857,0.324,1.6722,1.9962,ok
HandMovementDirection,stl_linear,10,3,1.0,True,2,0.24166666666666664,0.6207,1.5703,2.191,ok
HandMovementDirection,stl_tree,10,3,1.0,True,2,0.19285714285714284,0.3153,1.5703,1.8856,ok
HandMovementDirection,stl_linear,10,3,1.0,True,3,0.29166666666666663,0.6262,1.3397,1.9659,ok
HandMovementDirection,stl_tree,10,3,1.0,True,3,0.21904761904761905,0.289,1.3397,1.6287,ok
HandMovementDirection,stl_linear,10,3,1.0,True,4,0.23333333333333334,0.5992,0.5738,1.173,ok
HandMovementDirection,stl_tree,10,3,1.0,True,4,0.27619047619047615,0.3673,0.5738,0.9411,ok
HandMovementDirection,stl_linear,10,3,1.0,True,5,0.25,0.5259,0.6918,1.2177,ok
HandMovementDirection,stl_tree,10,3,1.0,True,5,0.2833333333333333,0.3383,0.6918,1.0301,ok
HandMovementDirection,stl_linear,10,3,1.0,True,6,0.28809523809523807,0.632,0.8335,1.4655,ok
HandMovementDirection,stl_tree,10,3,1.0,True,6,0.33095238095238094,0.3256,0.8335,1.1591,ok
HandMovementDirection,stl_linear,10,3,1.0,True,7,0.25,0.5646,0.411,0.9756,ok
HandMovementDirection,stl_tree,10,3,1.0,True,7,0.33095238095238094,0.3062,0.411,0.7172,ok
HandMovementDirection,stl_linear,10,3,1.0,True,8,0.25,0.5878,1.5948,2.1826,ok
HandMovementDirection,stl_tree,10,3,1.0,True,8,0.2130952380952381,0.3053,1.5948,1.9001,ok
HandMovementDirection,stl_linear,10,3,1.0,True,9,0.25,0.6032,0.556,1.1592,ok
HandMovementDirection,stl_tree,10,3,1.0,True,9,0.2690476190476191,0.2915,0.556,0.8475,ok
