dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,100,3,1.0,True,0,0.25,1.9751,12.6547,14.6298,ok
HandMovementDirection,stl_tree,100,3,1.0,True,0,0.32857142857142857,3.4698,12.6547,16.1245,ok
HandMovementDirection,stl_linear,100,3,1.0,True,1,0.26785714285714285,1.6193,12.1193,13.7386,ok
HandMovementDirection,stl_tree,100,3,1.0,True,1,0.23809523809523808,0.5388,12.1193,12.6581,ok
HandMovementDirection,stl_linear,100,3,1.0,True,2,0.38928571428571435,1.7297,10.4935,12.2232,ok
HandMovementDirection,stl_tree,100,3,1.0,True,2,0.2511904761904762,0.5489,10.4935,11.0424,ok
HandMovementDirection,stl_linear,100,3,1.0,True,3,0.30833333333333335,1.5017,12.308,13.8097,ok
HandMovementDirection,stl_tree,100,3,1.0,True,3,0.23690476190476192,0.5547,12.308,12.8627,ok
HandMovementDirection,stl_linear,100,3,1.0,True,4,0.25,1.6702,9.8655,11.5357,ok
HandMovementDirection,stl_tree,100,3,1.0,True,4,0.27142857142857146,0.6054,9.8655,10.4709,ok
HandMovementDirection,stl_linear,100,3,1.0,True,5,0.23928571428571427,1.8098,11.3834,13.1932,ok
HandMovementDirection,stl_tree,100,3,1.0,True,5,0.2607142857142857,0.5937,11.3834,11.9771,ok
HandMovementDirection,stl_linear,100,3,1.0,True,6,0.275,1.605,9.7003,11.3053,ok
HandMovementDirection,stl_tree,100,3,1.0,True,6,0.22499999999999998,0.6072,9.7003,10.3075,ok
HandMovementDirection,stl_linear,100,3,1.0,True,7,0.4273809523809524,1.6836,8.2445,9.9281,ok
HandMovementDirection,stl_tree,100,3,1.0,True,7,0.2928571428571428,0.5913,8.2445,8.8358,ok
HandMovementDirection,stl_linear,100,3,1.0,True,8,0.25,1.6609,12.3266,13.9875,ok
HandMovementDirection,stl_tree,100,3,1.0,True,8,0.3011904761904762,0.5524,12.3266,12.879,ok
HandMovementDirection,stl_linear,100,3,1.0,True,9,0.3726190476190476,1.7474,14.815,16.5624,ok
HandMovementDirection,stl_tree,100,3,1.0,True,9,0.21904761904761905,0.6283,14.815,15.4433,ok
