dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,stl_linear,1000,3,1.0,True,0,0.30833333333333335,2.173,108.2439,110.4169,ok
HandMovementDirection,stl_tree,1000,3,1.0,True,0,0.29285714285714287,5.6978,108.2439,113.9417,ok
HandMovementDirection,stl_linear,1000,3,1.0,True,1,0.38809523809523805,2.4533,100.9302,103.3835,ok
HandMovementDirection,stl_tree,1000,3,1.0,True,1,0.32857142857142857,2.5059,100.9302,103.4361,ok
HandMovementDirection,stl_linear,1000,3,1.0,True,2,0.4083333333333333,2.3546,102.7522,105.1068,ok
HandMovementDirection,stl_tree,1000,3,1.0,True,2,0.2380952380952381,2.7218,102.7522,105.474,ok
HandMovementDirection,stl_linear,1000,3,1.0,True,3,0.26666666666666666,2.2272,107.8842,110.1114,ok
HandMovementDirection,stl_tree,1000,3,1.0,True,3,0.24761904761904763,2.6762,107.8842,110.5604,ok
HandMovementDirection,stl_linear,1000,3,1.0,True,4,0.4928571428571428,2.2123,107.1636,109.3759,ok
HandMovementDirection,stl_tree,1000,3,1.0,True,4,0.2785714285714286,2.7176,107.1636,109.8812,ok
HandMovementDirection,stl_linear,1000,3,1.0,True,5,0.3,2.3324,106.5968,108.9292,ok
HandMovementDirection,stl_tree,1000,3,1.0,True,5,0.3785714285714285,2.7026,106.5968,109.2994,ok
HandMovementDirection,stl_linear,1000,3,1.0,True,6,0.35595238095238096,2.0735,102.6645,104.738,ok
HandMovementDirection,stl_tree,1000,3,1.0,True,6,0.17619047619047618,2.7579,102.6645,105.4224,ok
HandMovementDirection,stl_linear,1000,3,1.0,True,7,0.25,2.2475,95.4471,97.6946,ok
HandMovementDirection,stl_tree,1000,3,1.0,True,7,0.26309523809523805,2.6486,95.4471,98.0957,ok
HandMovementDirection,stl_linear,1000,3,1.0,True,8,0.43690476190476185,2.2861,104.6551,106.9412,ok
HandMovementDirection,stl_tree,1000,3,1.0,True,8,0.2785714285714285,2.7547,104.6551,107.4098,ok
HandMovementDirection,stl_linear,1000,3,1.0,True,9,0.4916666666666667,2.1078,101.4543,103.5621,ok
HandMovementDirection,stl_tree,1000,3,1.0,True,9,0.2357142857142857,2.7474,101.4543,104.2017,ok
