dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Handwriting,stl_linear,10,1,0.0,True,0,0.07352987045561858,1.3093,0.0293,1.3386,ok
Handwriting,stl_tree,10,1,0.0,True,0,0.09731739723846931,2.3128,0.0293,2.3421,ok
Handwriting,stl_linear,10,1,0.0,True,1,0.1311105556741833,0.7605,0.0121,0.7726,ok
Handwriting,stl_tree,10,1,0.0,True,1,0.12668861719462704,0.1551,0.0121,0.1672,ok
Handwriting,stl_linear,10,1,0.0,True,2,0.10314939441350221,1.6696,0.0092,1.6788,ok
Handwriting,stl_tree,10,1,0.0,True,2,0.08510039164534088,0.1474,0.0092,0.1566,ok
Handwriting,stl_linear,10,1,0.0,True,3,0.0891274596075225,1.3188,0.0079,1.3267,ok
Handwriting,stl_tree,10,1,0.0,True,3,0.08164743184652887,0.1544,0.0079,0.1623,ok
Handwriting,stl_linear,10,1,0.0,True,4,0.1245482033769387,1.3321,0.0085,1.3406,ok
Handwriting,stl_tree,10,1,0.0,True,4,0.09147072931375555,0.149,0.0085,0.1575,ok
Handwriting,stl_linear,10,1,0.0,True,5,0.10045170542588912,1.568,0.009,1.577,ok
Handwriting,stl_tree,10,1,0.0,True,5,0.0981584880603264,0.1533,0.009,0.1623,ok
Handwriting,stl_linear,10,1,0.0,True,6,0.08353237852091405,0.8109,0.0082,0.8191,ok
Handwriting,stl_tree,10,1,0.0,True,6,0.09172972036873205,0.1637,0.0082,0.1719,ok
Handwriting,stl_linear,10,1,0.0,True,7,0.11758508067544457,1.3553,0.0085,1.3638,ok
Handwriting,stl_tree,10,1,0.0,True,7,0.1242371996563749,0.1529,0.0085,0.1614,ok
Handwriting,stl_linear,10,1,0.0,True,8,0.11630315025950735,1.084,0.0109,1.0949,ok
Handwriting,stl_tree,10,1,0.0,True,8,0.09680430621095419,0.1489,0.0109,0.1598,ok
Handwriting,stl_linear,10,1,0.0,True,9,0.11379310076370491,0.9462,0.1057,1.0519,ok
Handwriting,stl_tree,10,1,0.0,True,9,0.08310561211375368,0.1466,0.1057,0.2523,ok
