dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Handwriting,stl_linear,1000,1,0.0,True,0,0.2699316071430825,7.9028,0.9037,8.8065,ok
Handwriting,stl_tree,1000,1,0.0,True,0,0.12019193426320231,4.8273,0.9037,5.731,ok
Handwriting,stl_linear,1000,1,0.0,True,1,0.20008332461222864,7.8213,0.9467,8.768,ok
Handwriting,stl_tree,1000,1,0.0,True,1,0.12641789337999748,2.6084,0.9467,3.5551,ok
Handwriting,stl_linear,1000,1,0.0,True,2,0.1784473318025617,7.3733,0.8159,8.1892,ok
Handwriting,stl_tree,1000,1,0.0,True,2,0.10318753371867265,2.4285,0.8159,3.2444,ok
Handwriting,stl_linear,1000,1,0.0,True,3,0.23882381846974754,7.8429,0.7509,8.5938,ok
Handwriting,stl_tree,1000,1,0.0,True,3,0.12513564077282774,2.5099,0.7509,3.2608,ok
Handwriting,stl_linear,1000,1,0.0,True,4,0.23117865084964936,7.6333,0.7455,8.3788,ok
Handwriting,stl_tree,1000,1,0.0,True,4,0.10483524208485381,2.5128,0.7455,3.2583,ok
Handwriting,stl_linear,1000,1,0.0,True,5,0.2541577916266112,8.0063,0.7473,8.7536,ok
Handwriting,stl_tree,1000,1,0.0,True,5,0.09946526567729158,2.5293,0.7473,3.2766,ok
Handwriting,stl_linear,1000,1,0.0,True,6,0.21056496657238502,7.5904,0.7017,8.2921,ok
Handwriting,stl_tree,1000,1,0.0,True,6,0.10971603271750727,2.4846,0.7017,3.1863,ok
Handwriting,stl_linear,1000,1,0.0,True,7,0.2032017232936551,8.1402,0.8077,8.9479,ok
Handwriting,stl_tree,1000,1,0.0,True,7,0.13117231697751303,2.5188,0.8077,3.3265,ok
Handwriting,stl_linear,1000,1,0.0,True,8,0.2419434227580661,8.1257,0.6894,8.8151,ok
Handwriting,stl_tree,1000,1,0.0,True,8,0.12419529395807019,2.4358,0.6894,3.1252,ok
Handwriting,stl_linear,1000,1,0.0,True,9,0.23222290279563526,7.6882,0.7733,8.4615,ok
Handwriting,stl_tree,1000,1,0.0,True,9,0.10808034990868777,2.4797,0.7733,3.253,ok
