dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,1000,1,0.0,True,0,0.7035324798482693,1.9472,0.8736,2.8208,ok
Heartbeat,stl_tree,1000,1,0.0,True,0,0.6050260787102892,4.9307,0.8736,5.8043,ok
Heartbeat,stl_linear,1000,1,0.0,True,1,0.6326458036984353,1.7919,0.8828,2.6747,ok
Heartbeat,stl_tree,1000,1,0.0,True,1,0.6449146514935988,2.6579,0.8828,3.5407,ok
Heartbeat,stl_linear,1000,1,0.0,True,2,0.6172356567093409,1.699,0.7499,2.4489,ok
Heartbeat,stl_tree,1000,1,0.0,True,2,0.6286747273589379,2.7581,0.7499,3.508,ok
Heartbeat,stl_linear,1000,1,0.0,True,3,0.639461830251304,1.7804,0.8308,2.6112,ok
Heartbeat,stl_tree,1000,1,0.0,True,3,0.6071005215742058,2.6872,0.8308,3.518,ok
Heartbeat,stl_linear,1000,1,0.0,True,4,0.6967164532954007,1.8042,0.7942,2.5984,ok
Heartbeat,stl_tree,1000,1,0.0,True,4,0.5747392128971076,2.8134,0.7942,3.6076,ok
Heartbeat,stl_linear,1000,1,0.0,True,5,0.6751422475106685,1.9925,0.7938,2.7863,ok
Heartbeat,stl_tree,1000,1,0.0,True,5,0.617117117117117,2.6493,0.7938,3.4431,ok
Heartbeat,stl_linear,1000,1,0.0,True,6,0.6570056899004267,1.6308,0.6975,2.3283,ok
Heartbeat,stl_tree,1000,1,0.0,True,6,0.589497392128971,2.5446,0.6975,3.2421,ok
Heartbeat,stl_linear,1000,1,0.0,True,7,0.6575391180654339,1.915,0.7154,2.6304,ok
Heartbeat,stl_tree,1000,1,0.0,True,7,0.5631816026552868,2.726,0.7154,3.4414,ok
Heartbeat,stl_linear,1000,1,0.0,True,8,0.6954717875770506,1.9103,0.8217,2.732,ok
Heartbeat,stl_tree,1000,1,0.0,True,8,0.618421052631579,2.6625,0.8217,3.4842,ok
Heartbeat,stl_linear,1000,1,0.0,True,9,0.6596135609293503,1.7637,0.7239,2.4876,ok
Heartbeat,stl_tree,1000,1,0.0,True,9,0.562529634898056,2.6921,0.7239,3.416,ok
