dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,100,1,0.0,True,0,0.6745495495495495,3.3458,0.1018,3.4476,ok
Heartbeat,stl_tree,100,1,0.0,True,0,0.6395211000474159,2.6542,0.1018,2.756,ok
Heartbeat,stl_linear,100,1,0.0,True,1,0.6542792792792793,5.5987,0.1018,5.7005,ok
Heartbeat,stl_tree,100,1,0.0,True,1,0.6529753437648174,0.5156,0.1018,0.6174,ok
Heartbeat,stl_linear,100,1,0.0,True,2,0.6717045993361783,4.523,0.0864,4.6094,ok
Heartbeat,stl_tree,100,1,0.0,True,2,0.5760431484115695,0.5125,0.0864,0.5989,ok
Heartbeat,stl_linear,100,1,0.0,True,3,0.7021692745376956,4.5508,0.0822,4.633,ok
Heartbeat,stl_tree,100,1,0.0,True,3,0.6307491702228545,0.5282,0.0822,0.6104,ok
Heartbeat,stl_linear,100,1,0.0,True,4,0.6218587008060692,3.7897,0.0847,3.8744,ok
Heartbeat,stl_tree,100,1,0.0,True,4,0.6604433380749171,0.4862,0.0847,0.5709,ok
Heartbeat,stl_linear,100,1,0.0,True,5,0.6414770033191086,2.6628,0.0788,2.7416,ok
Heartbeat,stl_tree,100,1,0.0,True,5,0.6117235656709341,0.5025,0.0788,0.5813,ok
Heartbeat,stl_linear,100,1,0.0,True,6,0.6717638691322902,2.3587,0.0882,2.4469,ok
Heartbeat,stl_tree,100,1,0.0,True,6,0.6252370791844476,0.5105,0.0882,0.5987,ok
Heartbeat,stl_linear,100,1,0.0,True,7,0.6629919393077288,3.2863,0.077,3.3633,ok
Heartbeat,stl_tree,100,1,0.0,True,7,0.6049668089141773,0.5269,0.077,0.6039,ok
Heartbeat,stl_linear,100,1,0.0,True,8,0.6608582266477003,2.3403,0.0732,2.4135,ok
Heartbeat,stl_tree,100,1,0.0,True,8,0.6327050734945472,0.5634,0.0732,0.6366,ok
Heartbeat,stl_linear,100,1,0.0,True,9,0.6651256519677573,3.4529,0.0962,3.5491,ok
Heartbeat,stl_tree,100,1,0.0,True,9,0.6658368895211,0.5377,0.0962,0.6339,ok
