dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,1000,1,0.0,True,0,0.7035324798482693,1.8671,0.8541,2.7212,ok
Heartbeat,stl_tree,1000,1,0.0,True,0,0.6050260787102892,4.7945,0.8541,5.6486,ok
Heartbeat,stl_linear,1000,1,0.0,True,1,0.6326458036984353,1.8177,0.8972,2.7149,ok
Heartbeat,stl_tree,1000,1,0.0,True,1,0.6449146514935988,2.635,0.8972,3.5322,ok
Heartbeat,stl_linear,1000,1,0.0,True,2,0.6172356567093409,1.675,0.7761,2.4511,ok
Heartbeat,stl_tree,1000,1,0.0,True,2,0.6286747273589379,2.7322,0.7761,3.5083,ok
Heartbeat,stl_linear,1000,1,0.0,True,3,0.639461830251304,1.7211,0.7063,2.4274,ok
Heartbeat,stl_tree,1000,1,0.0,True,3,0.6071005215742058,2.6387,0.7063,3.345,ok
Heartbeat,stl_linear,1000,1,0.0,True,4,0.6967164532954007,1.7642,0.7457,2.5099,ok
Heartbeat,stl_tree,1000,1,0.0,True,4,0.5747392128971076,2.7644,0.7457,3.5101,ok
Heartbeat,stl_linear,1000,1,0.0,True,5,0.6751422475106685,1.9355,0.7626,2.6981,ok
Heartbeat,stl_tree,1000,1,0.0,True,5,0.617117117117117,2.6083,0.7626,3.3709,ok
Heartbeat,stl_linear,1000,1,0.0,True,6,0.6570056899004267,1.5776,0.7369,2.3145,ok
Heartbeat,stl_tree,1000,1,0.0,True,6,0.589497392128971,2.523,0.7369,3.2599,ok
Heartbeat,stl_linear,1000,1,0.0,True,7,0.6575391180654339,1.8406,0.8429,2.6835,ok
Heartbeat,stl_tree,1000,1,0.0,True,7,0.5631816026552868,2.7044,0.8429,3.5473,ok
Heartbeat,stl_linear,1000,1,0.0,True,8,0.6954717875770506,1.8022,0.7283,2.5305,ok
Heartbeat,stl_tree,1000,1,0.0,True,8,0.618421052631579,2.6637,0.7283,3.392,ok
Heartbeat,stl_linear,1000,1,0.0,True,9,0.6596135609293503,1.7106,0.7549,2.4655,ok
Heartbeat,stl_tree,1000,1,0.0,True,9,0.562529634898056,2.666,0.7549,3.4209,ok
