dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,10,2,0.0,True,0,0.6596135609293503,0.5584,0.0352,0.5936,ok
Heartbeat,stl_tree,10,2,0.0,True,0,0.6644736842105263,2.447,0.0352,2.4822,ok
Heartbeat,stl_linear,10,2,0.0,True,1,0.6746088193456614,0.4944,0.0192,0.5136,ok
Heartbeat,stl_tree,10,2,0.0,True,1,0.6536273115220483,0.2257,0.0192,0.2449,ok
Heartbeat,stl_linear,10,2,0.0,True,2,0.611190137505927,0.5377,0.0167,0.5544,ok
Heartbeat,stl_tree,10,2,0.0,True,2,0.6091156946420104,0.2378,0.0167,0.2545,ok
Heartbeat,stl_linear,10,2,0.0,True,3,0.590149359886202,0.5157,0.0162,0.5319,ok
Heartbeat,stl_tree,10,2,0.0,True,3,0.6678520625889047,0.2295,0.0162,0.2457,ok
Heartbeat,stl_linear,10,2,0.0,True,4,0.513809862494073,0.48,0.0179,0.4979,ok
Heartbeat,stl_tree,10,2,0.0,True,4,0.5821479374110953,0.2267,0.0179,0.2446,ok
Heartbeat,stl_linear,10,2,0.0,True,5,0.6954717875770506,0.5367,0.0168,0.5535,ok
Heartbeat,stl_tree,10,2,0.0,True,5,0.6638217164532954,0.2347,0.0168,0.2515,ok
Heartbeat,stl_linear,10,2,0.0,True,6,0.6536865813181603,0.5466,0.0171,0.5637,ok
Heartbeat,stl_tree,10,2,0.0,True,6,0.5801327643432906,0.2276,0.0171,0.2447,ok
Heartbeat,stl_linear,10,2,0.0,True,7,0.5854077761972498,0.5353,0.017,0.5523,ok
Heartbeat,stl_tree,10,2,0.0,True,7,0.5456377430061641,0.2153,0.017,0.2323,ok
Heartbeat,stl_linear,10,2,0.0,True,8,0.5915125651967756,0.5424,0.0191,0.5615,ok
Heartbeat,stl_tree,10,2,0.0,True,8,0.6245851114272167,0.2266,0.0191,0.2457,ok
Heartbeat,stl_linear,10,2,0.0,True,9,0.5983285917496444,0.4395,0.0189,0.4584,ok
Heartbeat,stl_tree,10,2,0.0,True,9,0.5558321479374111,0.2249,0.0189,0.2438,ok
