dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,100,2,0.0,True,0,0.5503793266951161,1.7098,0.7885,2.4983,ok
Heartbeat,stl_tree,100,2,0.0,True,0,0.6475817923186344,3.1332,0.7885,3.9217,ok
Heartbeat,stl_linear,100,2,0.0,True,1,0.6001659554291133,4.3174,4.3243,8.6417,ok
Heartbeat,stl_tree,100,2,0.0,True,1,0.6293266951161688,0.568,4.3243,4.8923,ok
Heartbeat,stl_linear,100,2,0.0,True,2,0.6145092460881935,3.6395,0.2447,3.8842,ok
Heartbeat,stl_tree,100,2,0.0,True,2,0.5767543859649122,0.5811,0.2447,0.8258,ok
Heartbeat,stl_linear,100,2,0.0,True,3,0.6711711711711712,2.1054,0.1003,2.2057,ok
Heartbeat,stl_tree,100,2,0.0,True,3,0.5996325272641062,0.5406,0.1003,0.6409,ok
Heartbeat,stl_linear,100,2,0.0,True,4,0.6981981981981982,4.2537,0.1263,4.38,ok
Heartbeat,stl_tree,100,2,0.0,True,4,0.6246443812233287,0.5697,0.1263,0.696,ok
Heartbeat,stl_linear,100,2,0.0,True,5,0.7089853010905642,3.2019,0.1708,3.3727,ok
Heartbeat,stl_tree,100,2,0.0,True,5,0.5976766239924135,0.5725,0.1708,0.7433,ok
Heartbeat,stl_linear,100,2,0.0,True,6,0.6515528686581318,3.1267,0.1154,3.2421,ok
Heartbeat,stl_tree,100,2,0.0,True,6,0.6529160739687055,0.6496,0.1154,0.765,ok
Heartbeat,stl_linear,100,2,0.0,True,7,0.5928757705073495,2.3283,0.1156,2.4439,ok
Heartbeat,stl_tree,100,2,0.0,True,7,0.6137980085348507,0.6049,0.1156,0.7205,ok
Heartbeat,stl_linear,100,2,0.0,True,8,0.6130867709815078,3.0028,0.1104,3.1132,ok
Heartbeat,stl_tree,100,2,0.0,True,8,0.5814366998577525,0.6079,0.1104,0.7183,ok
Heartbeat,stl_linear,100,2,0.0,True,9,0.6691559981033666,3.8067,0.1849,3.9916,ok
Heartbeat,stl_tree,100,2,0.0,True,9,0.6152204836415363,0.5906,0.1849,0.7755,ok
