dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,1000,2,0.0,True,0,0.6623992413466098,1.5221,1.7161,3.2382,ok
Heartbeat,stl_tree,1000,2,0.0,True,0,0.5659080132764343,5.1525,1.7161,6.8686,ok
Heartbeat,stl_linear,1000,2,0.0,True,1,0.6150426742532006,1.5176,1.3829,2.9005,ok
Heartbeat,stl_tree,1000,2,0.0,True,1,0.6131460407776197,2.7692,1.3829,4.1521,ok
Heartbeat,stl_linear,1000,2,0.0,True,2,0.6401137980085349,1.7694,1.0752,2.8446,ok
Heartbeat,stl_tree,1000,2,0.0,True,2,0.6266595542911333,2.7566,1.0752,3.8318,ok
Heartbeat,stl_linear,1000,2,0.0,True,3,0.6853366524419156,1.7817,2.8123,4.594,ok
Heartbeat,stl_tree,1000,2,0.0,True,3,0.5759838786154576,2.7071,2.8123,5.5194,ok
Heartbeat,stl_linear,1000,2,0.0,True,4,0.6488264580369844,1.5725,1.0198,2.5923,ok
Heartbeat,stl_tree,1000,2,0.0,True,4,0.6143907064959696,2.7188,1.0198,3.7386,ok
Heartbeat,stl_linear,1000,2,0.0,True,5,0.6866405879563774,1.5641,0.9572,2.5213,ok
Heartbeat,stl_tree,1000,2,0.0,True,5,0.5800734945471788,2.7013,0.9572,3.6585,ok
Heartbeat,stl_linear,1000,2,0.0,True,6,0.6731863442389758,1.8236,1.0486,2.8722,ok
Heartbeat,stl_tree,1000,2,0.0,True,6,0.6206140350877193,2.7375,1.0486,3.7861,ok
Heartbeat,stl_linear,1000,2,0.0,True,7,0.6515528686581318,1.6966,1.1199,2.8165,ok
Heartbeat,stl_tree,1000,2,0.0,True,7,0.5848150782361309,2.755,1.1199,3.8749,ok
Heartbeat,stl_linear,1000,2,0.0,True,8,0.6718231389284021,1.637,4.8761,6.5131,ok
Heartbeat,stl_tree,1000,2,0.0,True,8,0.6036036036036037,2.629,4.8761,7.5051,ok
Heartbeat,stl_linear,1000,2,0.0,True,9,0.6529160739687055,1.6985,1.2812,2.9797,ok
Heartbeat,stl_tree,1000,2,0.0,True,9,0.6415362731152205,2.5638,1.2812,3.845,ok
