dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,10000,2,0.0,True,0,0.6684447605500237,2.3495,10.6337,12.9832,ok
Heartbeat,stl_tree,10000,2,0.0,True,0,0.6110715979137031,26.4099,10.6337,37.0436,ok
Heartbeat,stl_linear,10000,2,0.0,True,1,0.6677335229966809,2.4322,10.1768,12.609,ok
Heartbeat,stl_tree,10000,2,0.0,True,1,0.6434921763869133,22.8173,10.1768,32.9941,ok
Heartbeat,stl_linear,10000,2,0.0,True,2,0.6029516358463727,2.2279,9.9212,12.1491,ok
Heartbeat,stl_tree,10000,2,0.0,True,2,0.5908605974395448,24.1484,9.9212,34.0696,ok
Heartbeat,stl_linear,10000,2,0.0,True,3,0.618421052631579,2.3472,9.2866,11.6338,ok
Heartbeat,stl_tree,10000,2,0.0,True,3,0.6191915599810336,23.6675,9.2866,32.9541,ok
Heartbeat,stl_linear,10000,2,0.0,True,4,0.6475225225225225,2.526,9.1489,11.6749,ok
Heartbeat,stl_tree,10000,2,0.0,True,4,0.6097676623992414,23.4058,9.1489,32.5547,ok
Heartbeat,stl_linear,10000,2,0.0,True,5,0.6886557610241821,2.3585,9.4797,11.8382,ok
Heartbeat,stl_tree,10000,2,0.0,True,5,0.599691797060218,23.636,9.4797,33.1157,ok
Heartbeat,stl_linear,10000,2,0.0,True,6,0.6542200094831674,2.3097,8.9728,11.2825,ok
Heartbeat,stl_tree,10000,2,0.0,True,6,0.6111308677098151,22.6967,8.9728,31.6695,ok
Heartbeat,stl_linear,10000,2,0.0,True,7,0.6575983878615458,2.2555,9.689,11.9445,ok
Heartbeat,stl_tree,10000,2,0.0,True,7,0.6354314841156946,23.9705,9.689,33.6595,ok
Heartbeat,stl_linear,10000,2,0.0,True,8,0.6575983878615458,2.3863,9.3457,11.732,ok
Heartbeat,stl_tree,10000,2,0.0,True,8,0.5888454243717403,23.5607,9.3457,32.9064,ok
Heartbeat,stl_linear,10000,2,0.0,True,9,0.6340090090090089,2.4219,8.9947,11.4166,ok
Heartbeat,stl_tree,10000,2,0.0,True,9,0.5834518729255571,23.2063,8.9947,32.201,ok
