dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,10,3,0.0,True,0,0.5800734945471788,0.4273,0.0384,0.4657,ok
Heartbeat,stl_tree,10,3,0.0,True,0,0.5456377430061641,2.3512,0.0384,2.3896,ok
Heartbeat,stl_linear,10,3,0.0,True,1,0.6144499762920816,0.5095,0.0192,0.5287,ok
Heartbeat,stl_tree,10,3,0.0,True,1,0.5720128022759602,0.2232,0.0192,0.2424,ok
Heartbeat,stl_linear,10,3,0.0,True,2,0.6374466571834994,0.6931,0.0213,0.7144,ok
Heartbeat,stl_tree,10,3,0.0,True,2,0.5665599810336652,0.2175,0.0213,0.2388,ok
Heartbeat,stl_linear,10,3,0.0,True,3,0.5737316263632053,0.4578,0.019,0.4768,ok
Heartbeat,stl_tree,10,3,0.0,True,3,0.5611071597913704,0.2322,0.019,0.2512,ok
Heartbeat,stl_linear,10,3,0.0,True,4,0.6122569938359412,0.5227,0.0196,0.5423,ok
Heartbeat,stl_tree,10,3,0.0,True,4,0.6077524893314367,0.2425,0.0196,0.2621,ok
Heartbeat,stl_linear,10,3,0.0,True,5,0.5787695590327169,0.5737,0.0187,0.5924,ok
Heartbeat,stl_tree,10,3,0.0,True,5,0.5171882408724514,0.2312,0.0187,0.2499,ok
Heartbeat,stl_linear,10,3,0.0,True,6,0.7028805120910384,0.5708,0.0176,0.5884,ok
Heartbeat,stl_tree,10,3,0.0,True,6,0.5913940256045519,0.27,0.0176,0.2876,ok
Heartbeat,stl_linear,10,3,0.0,True,7,0.5618183973447132,0.6584,0.0201,0.6785,ok
Heartbeat,stl_tree,10,3,0.0,True,7,0.5598032242769084,0.2469,0.0201,0.267,ok
Heartbeat,stl_linear,10,3,0.0,True,8,0.5689900426742532,0.5408,0.0207,0.5615,ok
Heartbeat,stl_tree,10,3,0.0,True,8,0.5314722617354196,0.2301,0.0207,0.2508,ok
Heartbeat,stl_linear,10,3,0.0,True,9,0.6340682788051208,0.4897,0.0208,0.5105,ok
Heartbeat,stl_tree,10,3,0.0,True,9,0.6326458036984353,0.2393,0.0208,0.2601,ok
