dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,100,3,0.0,True,0,0.6300379326695116,3.0212,0.2589,3.2801,ok
Heartbeat,stl_tree,100,3,0.0,True,0,0.6354314841156946,2.8249,0.2589,3.0838,ok
Heartbeat,stl_linear,100,3,0.0,True,1,0.6974869606448554,4.7305,0.1322,4.8627,ok
Heartbeat,stl_tree,100,3,0.0,True,1,0.5774063537221432,0.5891,0.1322,0.7213,ok
Heartbeat,stl_linear,100,3,0.0,True,2,0.6880037932669512,3.587,0.1385,3.7255,ok
Heartbeat,stl_tree,100,3,0.0,True,2,0.6111308677098151,0.5969,0.1385,0.7354,ok
Heartbeat,stl_linear,100,3,0.0,True,3,0.6839734471313419,2.724,0.8908,3.6148,ok
Heartbeat,stl_tree,100,3,0.0,True,3,0.5638928402086296,0.5844,0.8908,1.4752,ok
Heartbeat,stl_linear,100,3,0.0,True,4,0.6441441441441441,2.7872,1.9152,4.7024,ok
Heartbeat,stl_tree,100,3,0.0,True,4,0.6387505926979611,0.6264,1.9152,2.5416,ok
Heartbeat,stl_linear,100,3,0.0,True,5,0.6204954954954955,2.3423,1.6955,4.0378,ok
Heartbeat,stl_tree,100,3,0.0,True,5,0.5983285917496444,0.6569,1.6955,2.3524,ok
Heartbeat,stl_linear,100,3,0.0,True,6,0.6690374585111427,1.7806,0.1645,1.9451,ok
Heartbeat,stl_tree,100,3,0.0,True,6,0.6468705547652915,0.5745,0.1645,0.739,ok
Heartbeat,stl_linear,100,3,0.0,True,7,0.6401137980085349,2.9119,0.1394,3.0513,ok
Heartbeat,stl_tree,100,3,0.0,True,7,0.5746799431009957,0.5358,0.1394,0.6752,ok
Heartbeat,stl_linear,100,3,0.0,True,8,0.683262209577999,2.683,0.174,2.857,ok
Heartbeat,stl_tree,100,3,0.0,True,8,0.6326458036984353,0.5733,0.174,0.7473,ok
Heartbeat,stl_linear,100,3,0.0,True,9,0.6488857278330963,2.634,0.1297,2.7637,ok
Heartbeat,stl_tree,100,3,0.0,True,9,0.650841631104789,0.5109,0.1297,0.6406,ok
