dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,1000,3,0.0,True,0,0.656235182550972,1.5524,1.1245,2.6769,ok
Heartbeat,stl_tree,1000,3,0.0,True,0,0.5503793266951161,4.9035,1.1245,6.028,ok
Heartbeat,stl_linear,1000,3,0.0,True,1,0.6414770033191086,1.4285,1.1957,2.6242,ok
Heartbeat,stl_tree,1000,3,0.0,True,1,0.6313418681839735,2.5163,1.1957,3.712,ok
Heartbeat,stl_linear,1000,3,0.0,True,2,0.617769084874348,1.7098,1.0588,2.7686,ok
Heartbeat,stl_tree,1000,3,0.0,True,2,0.6056780464675202,2.6979,1.0588,3.7567,ok
Heartbeat,stl_linear,1000,3,0.0,True,3,0.6744902797534377,1.5528,1.1529,2.7057,ok
Heartbeat,stl_tree,1000,3,0.0,True,3,0.584755808440019,2.6443,1.1529,3.7972,ok
Heartbeat,stl_linear,1000,3,0.0,True,4,0.6718231389284021,1.6143,1.0633,2.6776,ok
Heartbeat,stl_tree,1000,3,0.0,True,4,0.5780583214793741,2.7658,1.0633,3.8291,ok
Heartbeat,stl_linear,1000,3,0.0,True,5,0.6569464201043149,1.4501,1.153,2.6031,ok
Heartbeat,stl_tree,1000,3,0.0,True,5,0.6083451872925557,2.6622,1.153,3.8152,ok
Heartbeat,stl_linear,1000,3,0.0,True,6,0.6690967283072546,1.7507,1.0508,2.8015,ok
Heartbeat,stl_tree,1000,3,0.0,True,6,0.5800734945471788,2.5558,1.0508,3.6066,ok
Heartbeat,stl_linear,1000,3,0.0,True,7,0.6347202465623518,1.5029,1.1196,2.6225,ok
Heartbeat,stl_tree,1000,3,0.0,True,7,0.6408843053579896,2.6157,1.1196,3.7353,ok
Heartbeat,stl_linear,1000,3,0.0,True,8,0.6705192034139402,1.7363,1.0251,2.7614,ok
Heartbeat,stl_tree,1000,3,0.0,True,8,0.5996325272641062,2.5477,1.0251,3.5728,ok
Heartbeat,stl_linear,1000,3,0.0,True,9,0.6184803224276909,1.5995,1.1173,2.7168,ok
Heartbeat,stl_tree,1000,3,0.0,True,9,0.6678520625889047,2.572,1.1173,3.6893,ok
