dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,10000,3,0.0,True,0,0.6677335229966809,2.4162,12.6184,15.0346,ok
Heartbeat,stl_tree,10000,3,0.0,True,0,0.5793622569938359,26.3013,12.6184,38.9197,ok
Heartbeat,stl_linear,10000,3,0.0,True,1,0.6488264580369844,2.4329,12.2583,14.6912,ok
Heartbeat,stl_tree,10000,3,0.0,True,1,0.617176386913229,23.6992,12.2583,35.9575,ok
Heartbeat,stl_linear,10000,3,0.0,True,2,0.6704599336178283,2.3011,11.2003,13.5014,ok
Heartbeat,stl_tree,10000,3,0.0,True,2,0.6597913703176861,24.0177,11.2003,35.218,ok
Heartbeat,stl_linear,10000,3,0.0,True,3,0.6853366524419156,2.5922,11.1085,13.7007,ok
Heartbeat,stl_tree,10000,3,0.0,True,3,0.5679824561403508,24.7136,11.1085,35.8221,ok
Heartbeat,stl_linear,10000,3,0.0,True,4,0.6299786628733997,2.3689,11.837,14.2059,ok
Heartbeat,stl_tree,10000,3,0.0,True,4,0.6353722143195828,24.573,11.837,36.41,ok
Heartbeat,stl_linear,10000,3,0.0,True,5,0.6319938359412044,2.2199,11.5663,13.7862,ok
Heartbeat,stl_tree,10000,3,0.0,True,5,0.6529753437648174,23.2315,11.5663,34.7978,ok
Heartbeat,stl_linear,10000,3,0.0,True,6,0.6522641062114747,2.5092,11.1395,13.6487,ok
Heartbeat,stl_tree,10000,3,0.0,True,6,0.5659672830725462,23.7732,11.1395,34.9127,ok
Heartbeat,stl_linear,10000,3,0.0,True,7,0.6347202465623518,2.4302,11.5844,14.0146,ok
Heartbeat,stl_tree,10000,3,0.0,True,7,0.573316737790422,23.7615,11.5844,35.3459,ok
Heartbeat,stl_linear,10000,3,0.0,True,8,0.6758534850640114,2.7707,12.5887,15.3594,ok
Heartbeat,stl_tree,10000,3,0.0,True,8,0.5948909435751542,23.8827,12.5887,36.4714,ok
Heartbeat,stl_linear,10000,3,0.0,True,9,0.6455073494547179,2.7885,12.2599,15.0484,ok
Heartbeat,stl_tree,10000,3,0.0,True,9,0.5982693219535324,23.8194,12.2599,36.0793,ok
