dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,10,1,1.0,True,0,0.6792911332385017,0.6843,0.8693,1.5536,ok
Heartbeat,stl_tree,10,1,1.0,True,0,0.6145685158843054,2.4999,0.8693,3.3692,ok
Heartbeat,stl_linear,10,1,1.0,True,1,0.5,0.4767,0.851,1.3277,ok
Heartbeat,stl_tree,10,1,1.0,True,1,0.5125651967757231,0.2359,0.851,1.0869,ok
Heartbeat,stl_linear,10,1,1.0,True,2,0.6048482693219536,0.5549,0.8807,1.4356,ok
Heartbeat,stl_tree,10,1,1.0,True,2,0.5988620199146515,0.2225,0.8807,1.1032,ok
Heartbeat,stl_linear,10,1,1.0,True,3,0.5929350403034613,0.5239,0.8947,1.4186,ok
Heartbeat,stl_tree,10,1,1.0,True,3,0.6050260787102892,0.2398,0.8947,1.1345,ok
Heartbeat,stl_linear,10,1,1.0,True,4,0.6489449976292081,0.5073,0.9766,1.4839,ok
Heartbeat,stl_tree,10,1,1.0,True,4,0.5875414888572783,0.2406,0.9766,1.2172,ok
Heartbeat,stl_linear,10,1,1.0,True,5,0.6347202465623518,0.5855,0.1083,0.6938,ok
Heartbeat,stl_tree,10,1,1.0,True,5,0.5861782835467046,0.2461,0.1083,0.3544,ok
Heartbeat,stl_linear,10,1,1.0,True,6,0.5750948316737791,0.5452,0.0172,0.5624,ok
Heartbeat,stl_tree,10,1,1.0,True,6,0.6509009009009008,0.245,0.0172,0.2622,ok
Heartbeat,stl_linear,10,1,1.0,True,7,0.5098980559506876,0.5778,0.8407,1.4185,ok
Heartbeat,stl_tree,10,1,1.0,True,7,0.545697012802276,0.2484,0.8407,1.0891,ok
Heartbeat,stl_linear,10,1,1.0,True,8,0.5665007112375533,0.4938,0.216,0.7098,ok
Heartbeat,stl_tree,10,1,1.0,True,8,0.5786510194404931,0.246,0.216,0.462,ok
Heartbeat,stl_linear,10,1,1.0,True,9,0.5976173541963016,0.5933,0.1358,0.7291,ok
Heartbeat,stl_tree,10,1,1.0,True,9,0.6158131816026553,0.2371,0.1358,0.3729,ok
