dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,100,1,1.0,True,0,0.6481744902797535,4.0998,10.6217,14.7215,ok
Heartbeat,stl_tree,100,1,1.0,True,0,0.6509601706970128,2.7863,10.6217,13.408,ok
Heartbeat,stl_linear,100,1,1.0,True,1,0.6650071123755334,2.5998,7.8851,10.4849,ok
Heartbeat,stl_tree,100,1,1.0,True,1,0.6528568041725936,0.5768,7.8851,8.4619,ok
Heartbeat,stl_linear,100,1,1.0,True,2,0.655642484589853,2.9684,9.8264,12.7948,ok
Heartbeat,stl_tree,100,1,1.0,True,2,0.6036628733997156,0.5188,9.8264,10.3452,ok
Heartbeat,stl_linear,100,1,1.0,True,3,0.6192508297771455,3.9715,13.9755,17.947,ok
Heartbeat,stl_tree,100,1,1.0,True,3,0.6185395922238027,0.5322,13.9755,14.5077,ok
Heartbeat,stl_linear,100,1,1.0,True,4,0.6273115220483642,2.4342,10.6519,13.0861,ok
Heartbeat,stl_tree,100,1,1.0,True,4,0.6024182076813656,0.5431,10.6519,11.195,ok
Heartbeat,stl_linear,100,1,1.0,True,5,0.6238738738738738,2.8146,6.6776,9.4922,ok
Heartbeat,stl_tree,100,1,1.0,True,5,0.6077524893314367,0.5656,6.6776,7.2432,ok
Heartbeat,stl_linear,100,1,1.0,True,6,0.627963489805595,2.5663,11.6976,14.2639,ok
Heartbeat,stl_tree,100,1,1.0,True,6,0.606389284020863,0.6165,11.6976,12.3141,ok
Heartbeat,stl_linear,100,1,1.0,True,7,0.6738383119962068,3.2551,8.188,11.4431,ok
Heartbeat,stl_tree,100,1,1.0,True,7,0.6989094357515411,0.5309,8.188,8.7189,ok
Heartbeat,stl_linear,100,1,1.0,True,8,0.6475225225225225,3.0751,11.7721,14.8472,ok
Heartbeat,stl_tree,100,1,1.0,True,8,0.611782835467046,0.547,11.7721,12.3191,ok
Heartbeat,stl_linear,100,1,1.0,True,9,0.6617472735893788,3.1575,9.3716,12.5291,ok
Heartbeat,stl_tree,100,1,1.0,True,9,0.6603840682788051,0.5587,9.3716,9.9303,ok
