dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,1000,1,1.0,True,0,0.6711119013750593,1.6996,121.7121,123.4117,ok
Heartbeat,stl_tree,1000,1,1.0,True,0,0.6152204836415363,5.2848,121.7121,126.9969,ok
Heartbeat,stl_linear,1000,1,1.0,True,1,0.6481744902797535,1.6779,114.4283,116.1062,ok
Heartbeat,stl_tree,1000,1,1.0,True,1,0.5935277382645804,2.7143,114.4283,117.1426,ok
Heartbeat,stl_linear,1000,1,1.0,True,2,0.6711711711711712,1.5905,112.1433,113.7338,ok
Heartbeat,stl_tree,1000,1,1.0,True,2,0.644203413940256,2.646,112.1433,114.7893,ok
Heartbeat,stl_linear,1000,1,1.0,True,3,0.6428402086296823,1.8327,117.7368,119.5695,ok
Heartbeat,stl_tree,1000,1,1.0,True,3,0.617176386913229,2.7881,117.7368,120.5249,ok
Heartbeat,stl_linear,1000,1,1.0,True,4,0.7001541014698909,1.8171,128.0931,129.9102,ok
Heartbeat,stl_tree,1000,1,1.0,True,4,0.6293266951161688,2.7219,128.0931,130.815,ok
Heartbeat,stl_linear,1000,1,1.0,True,5,0.6731863442389758,1.8569,115.7769,117.6338,ok
Heartbeat,stl_tree,1000,1,1.0,True,5,0.6138572783309626,2.7483,115.7769,118.5252,ok
Heartbeat,stl_linear,1000,1,1.0,True,6,0.6387505926979611,1.7471,135.805,137.5521,ok
Heartbeat,stl_tree,1000,1,1.0,True,6,0.6259483167377904,2.8135,135.805,138.6185,ok
Heartbeat,stl_linear,1000,1,1.0,True,7,0.6251778093883357,1.7035,102.2831,103.9866,ok
Heartbeat,stl_tree,1000,1,1.0,True,7,0.6245851114272167,2.7452,102.2831,105.0283,ok
Heartbeat,stl_linear,1000,1,1.0,True,8,0.655583214793741,1.8208,125.6314,127.4522,ok
Heartbeat,stl_tree,1000,1,1.0,True,8,0.6131460407776197,2.7164,125.6314,128.3478,ok
Heartbeat,stl_linear,1000,1,1.0,True,9,0.656235182550972,1.756,124.6879,126.4439,ok
Heartbeat,stl_tree,1000,1,1.0,True,9,0.6637624466571834,2.7498,124.6879,127.4377,ok
