dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,10000,1,1.0,True,0,0.6907302038880987,3.1035,1165.2112,1168.3147,ok
Heartbeat,stl_tree,10000,1,1.0,True,0,0.5618183973447132,27.034,1165.2112,1192.2452,ok
Heartbeat,stl_linear,10000,1,1.0,True,1,0.6481744902797535,2.6498,1206.5791,1209.2289,ok
Heartbeat,stl_tree,10000,1,1.0,True,1,0.5693456614509246,27.8123,1206.5791,1234.3914,ok
Heartbeat,stl_linear,10000,1,1.0,True,2,0.661036036036036,3.0159,1156.5968,1159.6127,ok
Heartbeat,stl_tree,10000,1,1.0,True,2,0.5827406353722143,27.8341,1156.5968,1184.4309,ok
Heartbeat,stl_linear,10000,1,1.0,True,3,0.6427809388335703,2.7733,1080.3765,1083.1498,ok
Heartbeat,stl_tree,10000,1,1.0,True,3,0.5928757705073495,27.1408,1080.3765,1107.5173,ok
Heartbeat,stl_linear,10000,1,1.0,True,4,0.694108582266477,2.6407,1114.068,1116.7087,ok
Heartbeat,stl_tree,10000,1,1.0,True,4,0.5800734945471788,27.028,1114.068,1141.096,ok
Heartbeat,stl_linear,10000,1,1.0,True,5,0.6225106685633002,2.9429,1055.8051,1058.748,ok
Heartbeat,stl_tree,10000,1,1.0,True,5,0.6340682788051208,27.04,1055.8051,1082.8451,ok
Heartbeat,stl_linear,10000,1,1.0,True,6,0.6859886201991465,2.7176,1143.8217,1146.5393,ok
Heartbeat,stl_tree,10000,1,1.0,True,6,0.628022759601707,27.4101,1143.8217,1171.2318,ok
Heartbeat,stl_linear,10000,1,1.0,True,7,0.6528568041725936,2.9526,1098.053,1101.0056,ok
Heartbeat,stl_tree,10000,1,1.0,True,7,0.5773470839260313,27.1541,1098.053,1125.2071,ok
Heartbeat,stl_linear,10000,1,1.0,True,8,0.6394025604551921,2.7835,1072.7964,1075.5799,ok
Heartbeat,stl_tree,10000,1,1.0,True,8,0.6097083926031295,27.1029,1072.7964,1099.8993,ok
Heartbeat,stl_linear,10000,1,1.0,True,9,0.6697486960644855,2.7638,1146.1935,1148.9573,ok
Heartbeat,stl_tree,10000,1,1.0,True,9,0.6145092460881935,27.7718,1146.1935,1173.9653,ok
