dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,10,2,1.0,True,0,0.6108937885253675,0.6671,2.0386,2.7057,ok
Heartbeat,stl_tree,10,2,1.0,True,0,0.6746088193456614,2.7983,2.0386,4.8369,ok
Heartbeat,stl_linear,10,2,1.0,True,1,0.6455073494547179,0.662,2.1834,2.8454,ok
Heartbeat,stl_tree,10,2,1.0,True,1,0.5591512565196776,0.2792,2.1834,2.4626,ok
Heartbeat,stl_linear,10,2,1.0,True,2,0.6617472735893788,0.768,1.3667,2.1347,ok
Heartbeat,stl_tree,10,2,1.0,True,2,0.6022996680891417,0.2734,1.3667,1.6401,ok
Heartbeat,stl_linear,10,2,1.0,True,3,0.601588430535799,0.6977,5.131,5.8287,ok
Heartbeat,stl_tree,10,2,1.0,True,3,0.5861190137505927,0.267,5.131,5.398,ok
Heartbeat,stl_linear,10,2,1.0,True,4,0.649656235182551,0.5994,1.0189,1.6183,ok
Heartbeat,stl_tree,10,2,1.0,True,4,0.6258890469416785,0.2552,1.0189,1.2741,ok
Heartbeat,stl_linear,10,2,1.0,True,5,0.6415362731152205,0.5974,1.9362,2.5336,ok
Heartbeat,stl_tree,10,2,1.0,True,5,0.6657776197249882,0.2602,1.9362,2.1964,ok
Heartbeat,stl_linear,10,2,1.0,True,6,0.6449146514935988,0.6119,1.1076,1.7195,ok
Heartbeat,stl_tree,10,2,1.0,True,6,0.5855263157894737,0.2452,1.1076,1.3528,ok
Heartbeat,stl_linear,10,2,1.0,True,7,0.5260787102892366,0.7212,1.368,2.0892,ok
Heartbeat,stl_tree,10,2,1.0,True,7,0.5557728781412992,0.2672,1.368,1.6352,ok
Heartbeat,stl_linear,10,2,1.0,True,8,0.5523944997629209,0.6503,2.1658,2.8161,ok
Heartbeat,stl_tree,10,2,1.0,True,8,0.6116642958748222,0.261,2.1658,2.4268,ok
Heartbeat,stl_linear,10,2,1.0,True,9,0.5428520625889047,0.6415,1.4864,2.1279,ok
Heartbeat,stl_tree,10,2,1.0,True,9,0.6293266951161688,0.2624,1.4864,1.7488,ok
