dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,100,3,1.0,True,0,0.6144499762920816,2.3814,13.1613,15.5427,ok
Heartbeat,stl_tree,100,3,1.0,True,0,0.6252963489805594,3.6137,13.1613,16.775,ok
Heartbeat,stl_linear,100,3,1.0,True,1,0.704954954954955,3.2164,13.0569,16.2733,ok
Heartbeat,stl_tree,100,3,1.0,True,1,0.6319938359412044,0.6278,13.0569,13.6847,ok
Heartbeat,stl_linear,100,3,1.0,True,2,0.6017069701280228,2.0071,20.8988,22.9059,ok
Heartbeat,stl_tree,100,3,1.0,True,2,0.6341275486012328,0.6257,20.8988,21.5245,ok
Heartbeat,stl_linear,100,3,1.0,True,3,0.6549905168326221,3.207,19.5363,22.7433,ok
Heartbeat,stl_tree,100,3,1.0,True,3,0.6677927927927928,0.6133,19.5363,20.1496,ok
Heartbeat,stl_linear,100,3,1.0,True,4,0.6468705547652915,1.9457,14.6729,16.6186,ok
Heartbeat,stl_tree,100,3,1.0,True,4,0.6273115220483642,0.6207,14.6729,15.2936,ok
Heartbeat,stl_linear,100,3,1.0,True,5,0.661036036036036,2.7541,18.9063,21.6604,ok
Heartbeat,stl_tree,100,3,1.0,True,5,0.47688477951635844,0.6696,18.9063,19.5759,ok
Heartbeat,stl_linear,100,3,1.0,True,6,0.6036036036036037,4.2226,17.3613,21.5839,ok
Heartbeat,stl_tree,100,3,1.0,True,6,0.5557728781412992,0.6032,17.3613,17.9645,ok
Heartbeat,stl_linear,100,3,1.0,True,7,0.6475225225225225,2.9511,19.5738,22.5249,ok
Heartbeat,stl_tree,100,3,1.0,True,7,0.5631816026552868,0.6171,19.5738,20.1909,ok
Heartbeat,stl_linear,100,3,1.0,True,8,0.666429587482219,1.9976,21.9692,23.9668,ok
Heartbeat,stl_tree,100,3,1.0,True,8,0.628615457562826,0.6392,21.9692,22.6084,ok
Heartbeat,stl_linear,100,3,1.0,True,9,0.6360834518729255,3.6672,21.9494,25.6166,ok
Heartbeat,stl_tree,100,3,1.0,True,9,0.5982693219535324,0.6327,21.9494,22.5821,ok
