dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,stl_linear,10000,3,1.0,True,0,0.633357041251778,3.2785,1790.3212,1793.5997,ok
Heartbeat,stl_tree,10000,3,1.0,True,0,0.6246443812233287,29.3723,1790.3212,1819.6935,ok
Heartbeat,stl_linear,10000,3,1.0,True,1,0.6407657657657657,2.6468,1804.8694,1807.5162,ok
Heartbeat,stl_tree,10000,3,1.0,True,1,0.6630512091038407,26.1587,1804.8694,1831.0281,ok
Heartbeat,stl_linear,10000,3,1.0,True,2,0.6529160739687055,3.3135,1790.9158,1794.2293,ok
Heartbeat,stl_tree,10000,3,1.0,True,2,0.5592105263157895,26.9029,1790.9158,1817.8187,ok
Heartbeat,stl_linear,10000,3,1.0,True,3,0.6299786628733997,3.029,1777.7303,1780.7593,ok
Heartbeat,stl_tree,10000,3,1.0,True,3,0.6110715979137031,28.19,1777.7303,1805.9203,ok
Heartbeat,stl_linear,10000,3,1.0,True,4,0.6407064959696538,2.7702,1771.9194,1774.6896,ok
Heartbeat,stl_tree,10000,3,1.0,True,4,0.5976173541963016,27.3046,1771.9194,1799.224,ok
Heartbeat,stl_linear,10000,3,1.0,True,5,0.6535680417259364,2.8497,1691.0363,1693.886,ok
Heartbeat,stl_tree,10000,3,1.0,True,5,0.6273115220483642,28.9486,1691.0363,1719.9849,ok
Heartbeat,stl_linear,10000,3,1.0,True,6,0.6043148411569464,2.7594,1645.1329,1647.8923,ok
Heartbeat,stl_tree,10000,3,1.0,True,6,0.6428402086296823,26.2278,1645.1329,1671.3607,ok
Heartbeat,stl_linear,10000,3,1.0,True,7,0.6893669985775248,2.7868,1510.7317,1513.5185,ok
Heartbeat,stl_tree,10000,3,1.0,True,7,0.5922238027501185,26.5228,1510.7317,1537.2545,ok
Heartbeat,stl_linear,10000,3,1.0,True,8,0.6515528686581318,2.2843,1491.6952,1493.9795,ok
Heartbeat,stl_tree,10000,3,1.0,True,8,0.6833214793741109,27.2332,1491.6952,1518.9284,ok
Heartbeat,stl_linear,10000,3,1.0,True,9,0.6752015173067805,2.211,1471.4667,1473.6777,ok
Heartbeat,stl_tree,10000,3,1.0,True,9,0.5773470839260313,26.5428,1471.4667,1498.0095,ok
