dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
LSST,stl_linear,10,1,0.0,True,0,0.2807788490679231,28.941,0.0323,28.9733,ok
LSST,stl_tree,10,1,0.0,True,0,0.34736410138032714,3.1986,0.0323,3.2309,ok
LSST,stl_linear,10,1,0.0,True,1,0.25269722728585853,13.3924,0.0205,13.4129,ok
LSST,stl_tree,10,1,0.0,True,1,0.28856305476353855,1.2137,0.0205,1.2342,ok
LSST,stl_linear,10,1,0.0,True,2,0.25398630237247777,15.5141,0.0198,15.5339,ok
LSST,stl_tree,10,1,0.0,True,2,0.33736806849326245,1.2121,0.0198,1.2319,ok
LSST,stl_linear,10,1,0.0,True,3,0.26833985182728576,29.3863,0.0187,29.405,ok
LSST,stl_tree,10,1,0.0,True,3,0.3260854848397609,1.2614,0.0187,1.2801,ok
LSST,stl_linear,10,1,0.0,True,4,0.26116169502889786,17.5157,0.0187,17.5344,ok
LSST,stl_tree,10,1,0.0,True,4,0.2443918953113557,1.2178,0.0187,1.2365,ok
LSST,stl_linear,10,1,0.0,True,5,0.3046034942559199,28.6207,0.0197,28.6404,ok
LSST,stl_tree,10,1,0.0,True,5,0.344933273466549,1.2186,0.0197,1.2383,ok
LSST,stl_linear,10,1,0.0,True,6,0.2398285373961267,16.5882,0.0194,16.6076,ok
LSST,stl_tree,10,1,0.0,True,6,0.34135097086223615,1.1826,0.0194,1.202,ok
LSST,stl_linear,10,1,0.0,True,7,0.23305553780434754,22.5946,0.0154,22.61,ok
LSST,stl_tree,10,1,0.0,True,7,0.3083436376988361,1.2546,0.0154,1.27,ok
LSST,stl_linear,10,1,0.0,True,8,0.2743512316691417,15.7611,0.0189,15.78,ok
LSST,stl_tree,10,1,0.0,True,8,0.2993807754333519,1.2141,0.0189,1.233,ok
LSST,stl_linear,10,1,0.0,True,9,0.2988312334374239,27.8632,0.0191,27.8823,ok
LSST,stl_tree,10,1,0.0,True,9,0.34455155295459666,1.1964,0.0191,1.2155,ok
