dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Libras,stl_linear,10,1,0.0,True,0,0.5944444444444446,1.9544,0.0221,1.9765,ok
Libras,stl_tree,10,1,0.0,True,0,0.5166666666666665,2.3519,0.0221,2.374,ok
Libras,stl_linear,10,1,0.0,True,1,0.6388888888888888,1.9665,0.0064,1.9729,ok
Libras,stl_tree,10,1,0.0,True,1,0.5666666666666667,0.2442,0.0064,0.2506,ok
Libras,stl_linear,10,1,0.0,True,2,0.6277777777777778,2.0682,0.005,2.0732,ok
Libras,stl_tree,10,1,0.0,True,2,0.47222222222222227,0.2311,0.005,0.2361,ok
Libras,stl_linear,10,1,0.0,True,3,0.5888888888888888,2.1897,0.0055,2.1952,ok
Libras,stl_tree,10,1,0.0,True,3,0.5388888888888889,0.2412,0.0055,0.2467,ok
Libras,stl_linear,10,1,0.0,True,4,0.7166666666666667,2.0973,0.0052,2.1025,ok
Libras,stl_tree,10,1,0.0,True,4,0.5666666666666667,0.2175,0.0052,0.2227,ok
Libras,stl_linear,10,1,0.0,True,5,0.65,2.2816,0.0054,2.287,ok
Libras,stl_tree,10,1,0.0,True,5,0.5111111111111112,0.2146,0.0054,0.22,ok
Libras,stl_linear,10,1,0.0,True,6,0.65,2.2505,0.0055,2.256,ok
Libras,stl_tree,10,1,0.0,True,6,0.5555555555555556,0.2142,0.0055,0.2197,ok
Libras,stl_linear,10,1,0.0,True,7,0.6222222222222221,2.204,0.0052,2.2092,ok
Libras,stl_tree,10,1,0.0,True,7,0.538888888888889,0.2227,0.0052,0.2279,ok
Libras,stl_linear,10,1,0.0,True,8,0.6,2.0284,0.0048,2.0332,ok
Libras,stl_tree,10,1,0.0,True,8,0.4944444444444444,0.2496,0.0048,0.2544,ok
Libras,stl_linear,10,1,0.0,True,9,0.538888888888889,1.7454,0.0069,1.7523,ok
Libras,stl_tree,10,1,0.0,True,9,0.4555555555555555,0.2353,0.0069,0.2422,ok
