dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Libras,stl_linear,100,1,0.0,True,0,0.8333333333333335,4.389,0.0535,4.4425,ok
Libras,stl_tree,100,1,0.0,True,0,0.6722222222222223,2.6319,0.0535,2.6854,ok
Libras,stl_linear,100,1,0.0,True,1,0.8611111111111112,4.1153,0.0396,4.1549,ok
Libras,stl_tree,100,1,0.0,True,1,0.6,0.5369,0.0396,0.5765,ok
Libras,stl_linear,100,1,0.0,True,2,0.8055555555555555,4.1333,0.0354,4.1687,ok
Libras,stl_tree,100,1,0.0,True,2,0.6055555555555556,0.5601,0.0354,0.5955,ok
Libras,stl_linear,100,1,0.0,True,3,0.7666666666666665,3.8779,0.0347,3.9126,ok
Libras,stl_tree,100,1,0.0,True,3,0.5944444444444444,0.5588,0.0347,0.5935,ok
Libras,stl_linear,100,1,0.0,True,4,0.8333333333333335,3.9199,0.0362,3.9561,ok
Libras,stl_tree,100,1,0.0,True,4,0.6055555555555556,0.5508,0.0362,0.587,ok
Libras,stl_linear,100,1,0.0,True,5,0.8111111111111112,3.6436,0.0353,3.6789,ok
Libras,stl_tree,100,1,0.0,True,5,0.6277777777777779,0.5376,0.0353,0.5729,ok
Libras,stl_linear,100,1,0.0,True,6,0.8277777777777776,3.7115,0.036,3.7475,ok
Libras,stl_tree,100,1,0.0,True,6,0.6222222222222222,0.554,0.036,0.59,ok
Libras,stl_linear,100,1,0.0,True,7,0.8277777777777777,4.0021,0.0342,4.0363,ok
Libras,stl_tree,100,1,0.0,True,7,0.5944444444444446,0.5555,0.0342,0.5897,ok
Libras,stl_linear,100,1,0.0,True,8,0.8166666666666667,4.1479,0.0355,4.1834,ok
Libras,stl_tree,100,1,0.0,True,8,0.611111111111111,0.5504,0.0355,0.5859,ok
Libras,stl_linear,100,1,0.0,True,9,0.8111111111111111,4.4637,0.0357,4.4994,ok
Libras,stl_tree,100,1,0.0,True,9,0.5444444444444445,0.5479,0.0357,0.5836,ok
