dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Libras,stl_linear,10000,1,0.0,True,0,0.8277777777777777,241.9012,3.7089,245.6101,ok
Libras,stl_tree,10000,1,0.0,True,0,0.5444444444444444,31.842,3.7089,35.5509,ok
Libras,stl_linear,10000,1,0.0,True,1,0.8388888888888889,241.6744,3.8882,245.5626,ok
Libras,stl_tree,10000,1,0.0,True,1,0.5555555555555556,29.284,3.8882,33.1722,ok
Libras,stl_linear,10000,1,0.0,True,2,0.7944444444444444,236.4158,3.7223,240.1381,ok
Libras,stl_tree,10000,1,0.0,True,2,0.538888888888889,29.5418,3.7223,33.2641,ok
Libras,stl_linear,10000,1,0.0,True,3,0.8277777777777777,221.9446,3.6868,225.6314,ok
Libras,stl_tree,10000,1,0.0,True,3,0.5166666666666666,29.5466,3.6868,33.2334,ok
Libras,stl_linear,10000,1,0.0,True,4,0.8277777777777776,263.2643,3.8562,267.1205,ok
Libras,stl_tree,10000,1,0.0,True,4,0.5277777777777778,29.3462,3.8562,33.2024,ok
Libras,stl_linear,10000,1,0.0,True,5,0.8277777777777777,256.9507,3.6126,260.5633,ok
Libras,stl_tree,10000,1,0.0,True,5,0.5166666666666665,29.9771,3.6126,33.5897,ok
Libras,stl_linear,10000,1,0.0,True,6,0.8222222222222223,260.6242,3.7108,264.335,ok
Libras,stl_tree,10000,1,0.0,True,6,0.5444444444444444,30.1838,3.7108,33.8946,ok
Libras,stl_linear,10000,1,0.0,True,7,0.8277777777777778,262.6359,3.7514,266.3873,ok
Libras,stl_tree,10000,1,0.0,True,7,0.5444444444444444,28.7391,3.7514,32.4905,ok
Libras,stl_linear,10000,1,0.0,True,8,0.8333333333333334,252.0499,3.7389,255.7888,ok
Libras,stl_tree,10000,1,0.0,True,8,0.5555555555555556,29.416,3.7389,33.1549,ok
Libras,stl_linear,10000,1,0.0,True,9,0.8277777777777777,235.6453,3.7541,239.3994,ok
Libras,stl_tree,10000,1,0.0,True,9,0.5333333333333333,28.9713,3.7541,32.7254,ok
