dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
MotorImagery,stl_linear,10,1,0.0,True,0,0.5,0.4137,0.089,0.5027,ok
MotorImagery,stl_tree,10,1,0.0,True,0,0.48,2.453,0.089,2.542,ok
MotorImagery,stl_linear,10,1,0.0,True,1,0.55,0.4799,0.0938,0.5737,ok
MotorImagery,stl_tree,10,1,0.0,True,1,0.5800000000000001,0.2507,0.0938,0.3445,ok
MotorImagery,stl_linear,10,1,0.0,True,2,0.52,0.4348,0.0738,0.5086,ok
MotorImagery,stl_tree,10,1,0.0,True,2,0.55,0.2485,0.0738,0.3223,ok
MotorImagery,stl_linear,10,1,0.0,True,3,0.5,0.5885,0.0809,0.6694,ok
MotorImagery,stl_tree,10,1,0.0,True,3,0.53,0.2561,0.0809,0.337,ok
MotorImagery,stl_linear,10,1,0.0,True,4,0.53,0.4437,0.073,0.5167,ok
MotorImagery,stl_tree,10,1,0.0,True,4,0.51,0.252,0.073,0.325,ok
MotorImagery,stl_linear,10,1,0.0,True,5,0.49,0.4973,0.0838,0.5811,ok
MotorImagery,stl_tree,10,1,0.0,True,5,0.43,0.2389,0.0838,0.3227,ok
MotorImagery,stl_linear,10,1,0.0,True,6,0.55,0.4099,0.0824,0.4923,ok
MotorImagery,stl_tree,10,1,0.0,True,6,0.51,0.2516,0.0824,0.334,ok
MotorImagery,stl_linear,10,1,0.0,True,7,0.56,0.5284,0.066,0.5944,ok
MotorImagery,stl_tree,10,1,0.0,True,7,0.4,0.2718,0.066,0.3378,ok
MotorImagery,stl_linear,10,1,0.0,True,8,0.56,0.4934,0.074,0.5674,ok
MotorImagery,stl_tree,10,1,0.0,True,8,0.51,0.2307,0.074,0.3047,ok
MotorImagery,stl_linear,10,1,0.0,True,9,0.57,0.4844,0.0884,0.5728,ok
MotorImagery,stl_tree,10,1,0.0,True,9,0.54,0.2417,0.0884,0.3301,ok
