dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
MotorImagery,stl_linear,100,1,0.0,True,0,0.53,4.6578,0.3063,4.9641,ok
MotorImagery,stl_tree,100,1,0.0,True,0,0.52,2.9366,0.3063,3.2429,ok
MotorImagery,stl_linear,100,1,0.0,True,1,0.47000000000000003,2.2548,0.3883,2.6431,ok
MotorImagery,stl_tree,100,1,0.0,True,1,0.52,0.7525,0.3883,1.1408,ok
MotorImagery,stl_linear,100,1,0.0,True,2,0.55,2.1755,0.3394,2.5149,ok
MotorImagery,stl_tree,100,1,0.0,True,2,0.39,0.7328,0.3394,1.0722,ok
MotorImagery,stl_linear,100,1,0.0,True,3,0.5,2.04,0.3276,2.3676,ok
MotorImagery,stl_tree,100,1,0.0,True,3,0.52,0.7199,0.3276,1.0475,ok
MotorImagery,stl_linear,100,1,0.0,True,4,0.5,2.4823,0.3637,2.846,ok
MotorImagery,stl_tree,100,1,0.0,True,4,0.55,0.7036,0.3637,1.0673,ok
MotorImagery,stl_linear,100,1,0.0,True,5,0.55,3.2428,0.278,3.5208,ok
MotorImagery,stl_tree,100,1,0.0,True,5,0.39,0.6956,0.278,0.9736,ok
MotorImagery,stl_linear,100,1,0.0,True,6,0.55,1.5789,0.3546,1.9335,ok
MotorImagery,stl_tree,100,1,0.0,True,6,0.52,0.7129,0.3546,1.0675,ok
MotorImagery,stl_linear,100,1,0.0,True,7,0.53,4.1797,0.3026,4.4823,ok
MotorImagery,stl_tree,100,1,0.0,True,7,0.47,0.7003,0.3026,1.0029,ok
MotorImagery,stl_linear,100,1,0.0,True,8,0.56,4.9993,0.3297,5.329,ok
MotorImagery,stl_tree,100,1,0.0,True,8,0.46,0.7374,0.3297,1.0671,ok
MotorImagery,stl_linear,100,1,0.0,True,9,0.57,5.1086,0.3366,5.4452,ok
MotorImagery,stl_tree,100,1,0.0,True,9,0.48000000000000004,0.6998,0.3366,1.0364,ok
