dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
MotorImagery,stl_linear,1000,1,0.0,True,0,0.5,3.6168,3.2493,6.8661,ok
MotorImagery,stl_tree,1000,1,0.0,True,0,0.59,6.8524,3.2493,10.1017,ok
MotorImagery,stl_linear,1000,1,0.0,True,1,0.5599999999999999,3.4592,2.9195,6.3787,ok
MotorImagery,stl_tree,1000,1,0.0,True,1,0.55,4.4175,2.9195,7.337,ok
MotorImagery,stl_linear,1000,1,0.0,True,2,0.55,3.0749,2.8233,5.8982,ok
MotorImagery,stl_tree,1000,1,0.0,True,2,0.48,4.5731,2.8233,7.3964,ok
MotorImagery,stl_linear,1000,1,0.0,True,3,0.56,3.408,2.7929,6.2009,ok
MotorImagery,stl_tree,1000,1,0.0,True,3,0.44,4.4897,2.7929,7.2826,ok
MotorImagery,stl_linear,1000,1,0.0,True,4,0.5,3.5538,2.8238,6.3776,ok
MotorImagery,stl_tree,1000,1,0.0,True,4,0.49,4.4542,2.8238,7.278,ok
MotorImagery,stl_linear,1000,1,0.0,True,5,0.55,3.1986,2.8846,6.0832,ok
MotorImagery,stl_tree,1000,1,0.0,True,5,0.48,4.3577,2.8846,7.2423,ok
MotorImagery,stl_linear,1000,1,0.0,True,6,0.54,3.4843,2.8852,6.3695,ok
MotorImagery,stl_tree,1000,1,0.0,True,6,0.51,4.5083,2.8852,7.3935,ok
MotorImagery,stl_linear,1000,1,0.0,True,7,0.55,3.4428,2.7211,6.1639,ok
MotorImagery,stl_tree,1000,1,0.0,True,7,0.62,4.3194,2.7211,7.0405,ok
MotorImagery,stl_linear,1000,1,0.0,True,8,0.55,3.6956,2.7286,6.4242,ok
MotorImagery,stl_tree,1000,1,0.0,True,8,0.45999999999999996,4.3192,2.7286,7.0478,ok
MotorImagery,stl_linear,1000,1,0.0,True,9,0.5,3.2044,2.5744,5.7788,ok
MotorImagery,stl_tree,1000,1,0.0,True,9,0.53,4.2683,2.5744,6.8427,ok
