dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
MotorImagery,stl_linear,10000,1,0.0,True,0,0.5,5.1055,34.6516,39.7571,ok
MotorImagery,stl_tree,10000,1,0.0,True,0,0.5,45.4968,34.6516,80.1484,ok
MotorImagery,stl_linear,10000,1,0.0,True,1,0.55,5.4284,29.0644,34.4928,ok
MotorImagery,stl_tree,10000,1,0.0,True,1,0.43,40.1813,29.0644,69.2457,ok
MotorImagery,stl_linear,10000,1,0.0,True,2,0.55,4.9491,27.7633,32.7124,ok
MotorImagery,stl_tree,10000,1,0.0,True,2,0.4,38.5373,27.7633,66.3006,ok
MotorImagery,stl_linear,10000,1,0.0,True,3,0.55,4.896,26.7068,31.6028,ok
MotorImagery,stl_tree,10000,1,0.0,True,3,0.45,41.7481,26.7068,68.4549,ok
MotorImagery,stl_linear,10000,1,0.0,True,4,0.55,5.1534,27.0445,32.1979,ok
MotorImagery,stl_tree,10000,1,0.0,True,4,0.62,41.7659,27.0445,68.8104,ok
MotorImagery,stl_linear,10000,1,0.0,True,5,0.55,5.2774,28.8157,34.0931,ok
MotorImagery,stl_tree,10000,1,0.0,True,5,0.43,40.6626,28.8157,69.4783,ok
MotorImagery,stl_linear,10000,1,0.0,True,6,0.55,5.1753,27.1288,32.3041,ok
MotorImagery,stl_tree,10000,1,0.0,True,6,0.45,39.798,27.1288,66.9268,ok
MotorImagery,stl_linear,10000,1,0.0,True,7,0.55,5.5186,26.9231,32.4417,ok
MotorImagery,stl_tree,10000,1,0.0,True,7,0.53,39.6714,26.9231,66.5945,ok
MotorImagery,stl_linear,10000,1,0.0,True,8,0.55,4.4524,26.4558,30.9082,ok
MotorImagery,stl_tree,10000,1,0.0,True,8,0.42,40.2645,26.4558,66.7203,ok
MotorImagery,stl_linear,10000,1,0.0,True,9,0.5,4.9117,27.1654,32.0771,ok
MotorImagery,stl_tree,10000,1,0.0,True,9,0.42000000000000004,41.078,27.1654,68.2434,ok
