dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
NATOPS,stl_linear,10,1,0.0,True,0,0.5611111111111111,1.9279,0.0222,1.9501,ok
NATOPS,stl_tree,10,1,0.0,True,0,0.5277777777777778,2.3573,0.0222,2.3795,ok
NATOPS,stl_linear,10,1,0.0,True,1,0.46666666666666673,0.9501,0.007,0.9571,ok
NATOPS,stl_tree,10,1,0.0,True,1,0.37777777777777777,0.2406,0.007,0.2476,ok
NATOPS,stl_linear,10,1,0.0,True,2,0.6555555555555556,1.19,0.0067,1.1967,ok
NATOPS,stl_tree,10,1,0.0,True,2,0.5666666666666665,0.2157,0.0067,0.2224,ok
NATOPS,stl_linear,10,1,0.0,True,3,0.7055555555555556,1.753,0.0062,1.7592,ok
NATOPS,stl_tree,10,1,0.0,True,3,0.6777777777777777,0.2281,0.0062,0.2343,ok
NATOPS,stl_linear,10,1,0.0,True,4,0.6555555555555556,1.9205,0.0064,1.9269,ok
NATOPS,stl_tree,10,1,0.0,True,4,0.6555555555555556,0.2208,0.0064,0.2272,ok
NATOPS,stl_linear,10,1,0.0,True,5,0.7277777777777779,1.5651,0.0069,1.572,ok
NATOPS,stl_tree,10,1,0.0,True,5,0.7555555555555555,0.2259,0.0069,0.2328,ok
NATOPS,stl_linear,10,1,0.0,True,6,0.6388888888888888,1.4263,0.006,1.4323,ok
NATOPS,stl_tree,10,1,0.0,True,6,0.6166666666666667,0.2543,0.006,0.2603,ok
NATOPS,stl_linear,10,1,0.0,True,7,0.5833333333333334,1.2123,0.0065,1.2188,ok
NATOPS,stl_tree,10,1,0.0,True,7,0.5333333333333333,0.2378,0.0065,0.2443,ok
NATOPS,stl_linear,10,1,0.0,True,8,0.6722222222222224,1.4319,0.0065,1.4384,ok
NATOPS,stl_tree,10,1,0.0,True,8,0.6222222222222222,0.2093,0.0065,0.2158,ok
NATOPS,stl_linear,10,1,0.0,True,9,0.5722222222222223,1.3515,0.0065,1.358,ok
NATOPS,stl_tree,10,1,0.0,True,9,0.5944444444444444,0.2226,0.0065,0.2291,ok
