dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
NATOPS,stl_linear,10000,1,0.0,True,0,0.9,39.233,3.984,43.217,ok
NATOPS,stl_tree,10000,1,0.0,True,0,0.7166666666666668,23.3996,3.984,27.3836,ok
NATOPS,stl_linear,10000,1,0.0,True,1,0.9,38.66,4.1591,42.8191,ok
NATOPS,stl_tree,10000,1,0.0,True,1,0.75,19.8291,4.1591,23.9882,ok
NATOPS,stl_linear,10000,1,0.0,True,2,0.9,37.0426,3.8289,40.8715,ok
NATOPS,stl_tree,10000,1,0.0,True,2,0.6777777777777777,20.7291,3.8289,24.558,ok
NATOPS,stl_linear,10000,1,0.0,True,3,0.8833333333333334,38.8522,3.853,42.7052,ok
NATOPS,stl_tree,10000,1,0.0,True,3,0.7666666666666666,20.3712,3.853,24.2242,ok
NATOPS,stl_linear,10000,1,0.0,True,4,0.9,34.6745,3.9182,38.5927,ok
NATOPS,stl_tree,10000,1,0.0,True,4,0.7555555555555555,20.6111,3.9182,24.5293,ok
NATOPS,stl_linear,10000,1,0.0,True,5,0.8777777777777778,36.5052,3.7309,40.2361,ok
NATOPS,stl_tree,10000,1,0.0,True,5,0.7444444444444445,20.5703,3.7309,24.3012,ok
NATOPS,stl_linear,10000,1,0.0,True,6,0.9,39.3572,4.0335,43.3907,ok
NATOPS,stl_tree,10000,1,0.0,True,6,0.7555555555555555,20.9357,4.0335,24.9692,ok
NATOPS,stl_linear,10000,1,0.0,True,7,0.9111111111111111,40.3859,4.1245,44.5104,ok
NATOPS,stl_tree,10000,1,0.0,True,7,0.7222222222222222,20.8818,4.1245,25.0063,ok
NATOPS,stl_linear,10000,1,0.0,True,8,0.9111111111111111,40.0251,4.0758,44.1009,ok
NATOPS,stl_tree,10000,1,0.0,True,8,0.6888888888888888,20.454,4.0758,24.5298,ok
NATOPS,stl_linear,10000,1,0.0,True,9,0.888888888888889,36.4861,3.9131,40.3992,ok
NATOPS,stl_tree,10000,1,0.0,True,9,0.7666666666666667,20.309,3.9131,24.2221,ok
