dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
PEMS-SF,stl_linear,10,1,0.0,True,0,0.40421682986900376,0.9593,0.0837,1.043,ok
PEMS-SF,stl_tree,10,1,0.0,True,0,0.8709117130856262,2.3778,0.0837,2.4615,ok
PEMS-SF,stl_linear,10,1,0.0,True,1,0.5041683598205337,1.1173,0.0792,1.1965,ok
PEMS-SF,stl_tree,10,1,0.0,True,1,0.726931007800573,0.2315,0.0792,0.3107,ok
PEMS-SF,stl_linear,10,1,0.0,True,2,0.4814632549415158,0.7995,0.0779,0.8774,ok
PEMS-SF,stl_tree,10,1,0.0,True,2,0.7707937312285138,0.246,0.0779,0.3239,ok
PEMS-SF,stl_linear,10,1,0.0,True,3,0.36935175935175935,0.745,0.0772,0.8222,ok
PEMS-SF,stl_tree,10,1,0.0,True,3,0.6854447002273089,0.2371,0.0772,0.3143,ok
PEMS-SF,stl_linear,10,1,0.0,True,4,0.41555473511995256,1.0617,0.0788,1.1405,ok
PEMS-SF,stl_tree,10,1,0.0,True,4,0.7009199978765197,0.2517,0.0788,0.3305,ok
PEMS-SF,stl_linear,10,1,0.0,True,5,0.3692969992969993,0.7651,0.0786,0.8437,ok
PEMS-SF,stl_tree,10,1,0.0,True,5,0.653563618346227,0.2313,0.0786,0.3099,ok
PEMS-SF,stl_linear,10,1,0.0,True,6,0.4529595042638522,1.5275,0.0768,1.6043,ok
PEMS-SF,stl_tree,10,1,0.0,True,6,0.7533327863762647,0.2724,0.0768,0.3492,ok
PEMS-SF,stl_linear,10,1,0.0,True,7,0.4615125132516437,0.7938,0.0773,0.8711,ok
PEMS-SF,stl_tree,10,1,0.0,True,7,0.7361721370417023,0.2422,0.0773,0.3195,ok
PEMS-SF,stl_linear,10,1,0.0,True,8,0.26285714285714284,1.3898,0.078,1.4678,ok
PEMS-SF,stl_tree,10,1,0.0,True,8,0.7321169008125531,0.2514,0.078,0.3294,ok
PEMS-SF,stl_linear,10,1,0.0,True,9,0.42354822311344054,0.8358,0.079,0.9148,ok
PEMS-SF,stl_tree,10,1,0.0,True,9,0.8087709713796671,0.2425,0.079,0.3215,ok
