dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
PEMS-SF,stl_linear,100,1,0.0,True,0,0.7360973969669622,2.3389,0.1456,2.4845,ok
PEMS-SF,stl_tree,100,1,0.0,True,0,0.8180276406363364,2.7921,0.1456,2.9377,ok
PEMS-SF,stl_linear,100,1,0.0,True,1,0.7180891250456468,2.5857,0.1282,2.7139,ok
PEMS-SF,stl_tree,100,1,0.0,True,1,0.9258249158249158,0.6123,0.1282,0.7405,ok
PEMS-SF,stl_linear,100,1,0.0,True,2,0.7817291565117651,2.2538,0.1269,2.3807,ok
PEMS-SF,stl_tree,100,1,0.0,True,2,0.8486491929970191,0.5749,0.1269,0.7018,ok
PEMS-SF,stl_linear,100,1,0.0,True,3,0.7271237619063706,2.357,0.1279,2.4849,ok
PEMS-SF,stl_tree,100,1,0.0,True,3,0.8361002926220317,0.5685,0.1279,0.6964,ok
PEMS-SF,stl_linear,100,1,0.0,True,4,0.7912751338838294,2.5323,0.1342,2.6665,ok
PEMS-SF,stl_tree,100,1,0.0,True,4,0.7906176593133115,0.5732,0.1342,0.7074,ok
PEMS-SF,stl_linear,100,1,0.0,True,5,0.8170364579060231,2.0676,0.1384,2.206,ok
PEMS-SF,stl_tree,100,1,0.0,True,5,0.8896122396122397,0.6094,0.1384,0.7478,ok
PEMS-SF,stl_linear,100,1,0.0,True,6,0.7083122835296748,2.1852,0.1335,2.3187,ok
PEMS-SF,stl_tree,100,1,0.0,True,6,0.879341415428372,0.5754,0.1335,0.7089,ok
PEMS-SF,stl_linear,100,1,0.0,True,7,0.7877120946686164,2.4321,0.122,2.5541,ok
PEMS-SF,stl_tree,100,1,0.0,True,7,0.8166538131755523,0.5713,0.122,0.6933,ok
PEMS-SF,stl_linear,100,1,0.0,True,8,0.7749011375098332,2.5167,0.1212,2.6379,ok
PEMS-SF,stl_tree,100,1,0.0,True,8,0.8123007427355253,0.5859,0.1212,0.7071,ok
PEMS-SF,stl_linear,100,1,0.0,True,9,0.7380624850190067,2.0325,0.1305,2.163,ok
PEMS-SF,stl_tree,100,1,0.0,True,9,0.7766368575064228,0.5688,0.1305,0.6993,ok
