dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
PEMS-SF,stl_linear,1000,1,0.0,True,0,0.78400948487905,4.1533,0.6344,4.7877,ok
PEMS-SF,stl_tree,1000,1,0.0,True,0,0.8286414069022764,5.4611,0.6344,6.0955,ok
PEMS-SF,stl_linear,1000,1,0.0,True,1,0.7128443537139189,4.0753,0.5977,4.673,ok
PEMS-SF,stl_tree,1000,1,0.0,True,1,0.8565187147795843,3.1233,0.5977,3.721,ok
PEMS-SF,stl_linear,1000,1,0.0,True,2,0.7170275778971431,3.8823,0.5676,4.4499,ok
PEMS-SF,stl_tree,1000,1,0.0,True,2,0.8437185519794215,2.8989,0.5676,3.4665,ok
PEMS-SF,stl_linear,1000,1,0.0,True,3,0.7360848169543822,3.8923,0.5865,4.4788,ok
PEMS-SF,stl_tree,1000,1,0.0,True,3,0.8505990627729759,3.1489,0.5865,3.7354,ok
PEMS-SF,stl_linear,1000,1,0.0,True,4,0.8068614155570677,3.8255,0.5829,4.4084,ok
PEMS-SF,stl_tree,1000,1,0.0,True,4,0.8905176948655209,2.97,0.5829,3.5529,ok
PEMS-SF,stl_linear,1000,1,0.0,True,5,0.7627155774981862,4.0027,0.6092,4.6119,ok
PEMS-SF,stl_tree,1000,1,0.0,True,5,0.9490413451283018,3.0766,0.6092,3.6858,ok
PEMS-SF,stl_linear,1000,1,0.0,True,6,0.7853481462177114,4.3308,0.6087,4.9395,ok
PEMS-SF,stl_tree,1000,1,0.0,True,6,0.962732484906398,3.1485,0.6087,3.7572,ok
PEMS-SF,stl_linear,1000,1,0.0,True,7,0.7685823033649121,3.8799,0.6371,4.517,ok
PEMS-SF,stl_tree,1000,1,0.0,True,7,0.8922503905112601,2.996,0.6371,3.6331,ok
PEMS-SF,stl_linear,1000,1,0.0,True,8,0.798008046703699,4.2648,0.619,4.8838,ok
PEMS-SF,stl_tree,1000,1,0.0,True,8,0.9175683575683574,2.9614,0.619,3.5804,ok
PEMS-SF,stl_linear,1000,1,0.0,True,9,0.7835699244394896,4.2166,0.6374,4.854,ok
PEMS-SF,stl_tree,1000,1,0.0,True,9,0.806012634708287,2.9337,0.6374,3.5711,ok
