dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
PenDigits,stl_linear,10,1,0.0,True,0,0.5555657362763877,11.6847,0.0203,11.705,ok
PenDigits,stl_tree,10,1,0.0,True,0,0.6431872593711129,3.0315,0.0203,3.0518,ok
PenDigits,stl_linear,10,1,0.0,True,1,0.595444507437384,9.1269,0.0215,9.1484,ok
PenDigits,stl_tree,10,1,0.0,True,1,0.7229088544878912,0.9046,0.0215,0.9261,ok
PenDigits,stl_linear,10,1,0.0,True,2,0.7368475204126492,29.281,0.0178,29.2988,ok
PenDigits,stl_tree,10,1,0.0,True,2,0.8063281110567406,0.8935,0.0178,0.9113,ok
PenDigits,stl_linear,10,1,0.0,True,3,0.5569210323823621,6.3904,0.0186,6.409,ok
PenDigits,stl_tree,10,1,0.0,True,3,0.7163421088183639,0.981,0.0186,0.9996,ok
PenDigits,stl_linear,10,1,0.0,True,4,0.6877507499284976,12.8863,0.0186,12.9049,ok
PenDigits,stl_tree,10,1,0.0,True,4,0.7662470303328512,0.9153,0.0186,0.9339,ok
PenDigits,stl_linear,10,1,0.0,True,5,0.4659769143113784,4.8838,0.021,4.9048,ok
PenDigits,stl_tree,10,1,0.0,True,5,0.5153066822368044,1.091,0.021,1.112,ok
PenDigits,stl_linear,10,1,0.0,True,6,0.5037229725272465,10.8792,0.0173,10.8965,ok
PenDigits,stl_tree,10,1,0.0,True,6,0.6021177307540944,0.7529,0.0173,0.7702,ok
PenDigits,stl_linear,10,1,0.0,True,7,0.7459645137765897,11.1812,0.0171,11.1983,ok
PenDigits,stl_tree,10,1,0.0,True,7,0.8266906860665341,0.9192,0.0171,0.9363,ok
PenDigits,stl_linear,10,1,0.0,True,8,0.6004968979460159,26.852,0.0184,26.8704,ok
PenDigits,stl_tree,10,1,0.0,True,8,0.680720476945036,0.8853,0.0184,0.9037,ok
PenDigits,stl_linear,10,1,0.0,True,9,0.3715787915160371,15.5633,0.0218,15.5851,ok
PenDigits,stl_tree,10,1,0.0,True,9,0.42294615549534137,0.5856,0.0218,0.6074,ok
