dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
PenDigits,stl_linear,100,1,0.0,True,0,0.964144197616043,93.7709,1.414,95.1849,ok
PenDigits,stl_tree,100,1,0.0,True,0,0.9240254815288736,5.9121,1.414,7.3261,ok
PenDigits,stl_linear,100,1,0.0,True,1,0.9582620116202205,91.12,0.3858,91.5058,ok
PenDigits,stl_tree,100,1,0.0,True,1,0.9159073649100785,2.7675,0.3858,3.1533,ok
PenDigits,stl_linear,100,1,0.0,True,2,0.9589944807566922,96.5447,0.1229,96.6676,ok
PenDigits,stl_tree,100,1,0.0,True,2,0.9226378127751941,3.0882,0.1229,3.2111,ok
PenDigits,stl_linear,100,1,0.0,True,3,0.9610256760426367,93.0878,0.1117,93.1995,ok
PenDigits,stl_tree,100,1,0.0,True,3,0.9145896606785344,3.1083,0.1117,3.22,ok
PenDigits,stl_linear,100,1,0.0,True,4,0.6872118225510355,182.2383,0.1061,182.3444,ok
PenDigits,stl_tree,100,1,0.0,True,4,0.9072405291452104,3.3122,0.1061,3.4183,ok
PenDigits,stl_linear,100,1,0.0,True,5,0.9576641082797799,106.1883,0.3739,106.5622,ok
PenDigits,stl_tree,100,1,0.0,True,5,0.9278904491031357,3.1736,0.3739,3.5475,ok
PenDigits,stl_linear,100,1,0.0,True,6,0.9472030942824702,96.4316,0.2753,96.7069,ok
PenDigits,stl_tree,100,1,0.0,True,6,0.9105269741565536,2.8342,0.2753,3.1095,ok
PenDigits,stl_linear,100,1,0.0,True,7,0.9624734458214783,90.4412,0.1131,90.5543,ok
PenDigits,stl_tree,100,1,0.0,True,7,0.9146647913371118,3.5336,0.1131,3.6467,ok
PenDigits,stl_linear,100,1,0.0,True,8,0.9589395458679719,98.4628,0.3602,98.823,ok
PenDigits,stl_tree,100,1,0.0,True,8,0.9174660171352844,3.3937,0.3602,3.7539,ok
PenDigits,stl_linear,100,1,0.0,True,9,0.9592416397487634,86.2229,0.2716,86.4945,ok
PenDigits,stl_tree,100,1,0.0,True,9,0.9178469269310519,3.4543,0.2716,3.7259,ok
