dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
PenDigits,stl_linear,1000,1,0.0,True,0,0.9684512541958267,675.8752,1.0495,676.9247,ok
PenDigits,stl_tree,1000,1,0.0,True,0,0.9128936130581314,33.238,1.0495,34.2875,ok
PenDigits,stl_linear,1000,1,0.0,True,1,0.968819462988391,676.1882,1.0747,677.2629,ok
PenDigits,stl_tree,1000,1,0.0,True,1,0.9114707770745764,31.5725,1.0747,32.6472,ok
PenDigits,stl_linear,1000,1,0.0,True,2,0.9634368927092808,686.859,1.1557,688.0147,ok
PenDigits,stl_tree,1000,1,0.0,True,2,0.9133358009019474,31.2882,1.1557,32.4439,ok
PenDigits,stl_linear,1000,1,0.0,True,3,0.9690007047452773,648.1659,1.0775,649.2434,ok
PenDigits,stl_tree,1000,1,0.0,True,3,0.9094843493232231,33.9722,1.0775,35.0497,ok
PenDigits,stl_linear,1000,1,0.0,True,4,0.9667572465978165,724.4032,1.1066,725.5098,ok
PenDigits,stl_tree,1000,1,0.0,True,4,0.9101490255560811,33.5724,1.1066,34.679,ok
PenDigits,stl_linear,1000,1,0.0,True,5,0.9698468859272793,656.2288,1.0867,657.3155,ok
PenDigits,stl_tree,1000,1,0.0,True,5,0.9161491024805137,33.4127,1.0867,34.4994,ok
PenDigits,stl_linear,1000,1,0.0,True,6,0.9676499721445448,686.4036,1.1482,687.5518,ok
PenDigits,stl_tree,1000,1,0.0,True,6,0.9155337346958785,30.8722,1.1482,32.0204,ok
