dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
PhonemeSpectra,stl_linear,10,1,0.0,True,0,0.07038128310358133,8.2782,0.0544,8.3326,ok
PhonemeSpectra,stl_tree,10,1,0.0,True,0,0.07366445683819145,3.8064,0.0544,3.8608,ok
PhonemeSpectra,stl_linear,10,1,0.0,True,1,0.06471640534568031,5.5854,0.0878,5.6732,ok
PhonemeSpectra,stl_tree,10,1,0.0,True,1,0.06917464660282718,1.5571,0.0878,1.6449,ok
PhonemeSpectra,stl_linear,10,1,0.0,True,2,0.07846995685572977,9.8848,0.0665,9.9513,ok
PhonemeSpectra,stl_tree,10,1,0.0,True,2,0.08383317548844225,1.6094,0.0665,1.6759,ok
PhonemeSpectra,stl_linear,10,1,0.0,True,3,0.06710863236171034,8.5815,0.0588,8.6403,ok
PhonemeSpectra,stl_tree,10,1,0.0,True,3,0.07602862254025045,1.6211,0.0588,1.6799,ok
PhonemeSpectra,stl_linear,10,1,0.0,True,4,0.07487460100319197,10.5348,0.0504,10.5852,ok
PhonemeSpectra,stl_tree,10,1,0.0,True,4,0.07849100284120804,1.6568,0.0504,1.7072,ok
PhonemeSpectra,stl_linear,10,1,0.0,True,5,0.06470588235294117,8.6916,0.0631,8.7547,ok
PhonemeSpectra,stl_tree,10,1,0.0,True,5,0.07662492546213476,1.7466,0.0631,1.8097,ok
PhonemeSpectra,stl_linear,10,1,0.0,True,6,0.0661896243291592,11.1541,0.0634,11.2175,ok
PhonemeSpectra,stl_tree,10,1,0.0,True,6,0.07281910975481427,1.654,0.0634,1.7174,ok
PhonemeSpectra,stl_linear,10,1,0.0,True,7,0.07603914553298959,8.5465,0.061,8.6075,ok
PhonemeSpectra,stl_tree,10,1,0.0,True,7,0.08064821635273073,1.8287,0.061,1.8897,ok
PhonemeSpectra,stl_linear,10,1,0.0,True,8,0.0641025641025641,11.9792,0.057,12.0362,ok
PhonemeSpectra,stl_tree,10,1,0.0,True,8,0.0773299659756568,1.5032,0.057,1.5602,ok
PhonemeSpectra,stl_linear,10,1,0.0,True,9,0.06529516994633273,8.7906,0.0661,8.8567,ok
PhonemeSpectra,stl_tree,10,1,0.0,True,9,0.07640043495036655,1.6965,0.0661,1.7626,ok
