dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,100,1,0.0,True,0,0.7292517588430721,0.974,0.0505,1.0245,ok
RacketSports,stl_tree,100,1,0.0,True,0,0.7121189173343756,2.5514,0.0505,2.6019,ok
RacketSports,stl_linear,100,1,0.0,True,1,0.7976280046902482,1.0118,0.0335,1.0453,ok
RacketSports,stl_tree,100,1,0.0,True,1,0.7146081688489349,0.475,0.0335,0.5085,ok
RacketSports,stl_linear,100,1,0.0,True,2,0.7920241352354895,1.0975,0.0323,1.1298,ok
RacketSports,stl_tree,100,1,0.0,True,2,0.7387311901504787,0.4406,0.0323,0.4729,ok
RacketSports,stl_linear,100,1,0.0,True,3,0.7062219073675982,0.9976,0.0328,1.0304,ok
RacketSports,stl_tree,100,1,0.0,True,3,0.7363616376783272,0.4562,0.0328,0.489,ok
RacketSports,stl_linear,100,1,0.0,True,4,0.7935790013679891,1.0462,0.0322,1.0784,ok
RacketSports,stl_tree,100,1,0.0,True,4,0.7171084131326949,0.4607,0.0322,0.4929,ok
RacketSports,stl_linear,100,1,0.0,True,5,0.7222566933750245,1.0551,0.0327,1.0878,ok
RacketSports,stl_tree,100,1,0.0,True,5,0.677233974985343,0.4539,0.0327,0.4866,ok
RacketSports,stl_linear,100,1,0.0,True,6,0.7549601817471174,1.0794,0.032,1.1114,ok
RacketSports,stl_tree,100,1,0.0,True,6,0.699046071917139,0.4455,0.032,0.4775,ok
RacketSports,stl_linear,100,1,0.0,True,7,0.7466313269493844,1.079,0.0331,1.1121,ok
RacketSports,stl_tree,100,1,0.0,True,7,0.6561840433847957,0.4432,0.0331,0.4763,ok
RacketSports,stl_linear,100,1,0.0,True,8,0.7703231874145007,1.098,0.032,1.13,ok
RacketSports,stl_tree,100,1,0.0,True,8,0.7085841313269494,0.4978,0.032,0.5298,ok
RacketSports,stl_linear,100,1,0.0,True,9,0.7756644518272425,1.0462,0.0361,1.0823,ok
RacketSports,stl_tree,100,1,0.0,True,9,0.7370395251123705,0.441,0.0361,0.4771,ok
