dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,10,1,0.0,True,0,0.5364178229431307,0.5662,0.0092,0.5754,ok
RacketSports,stl_tree,10,1,0.0,True,0,0.538532098886066,2.3955,0.0092,2.4047,ok
RacketSports,stl_linear,10,1,0.0,True,1,0.5207115985929256,0.747,0.0068,0.7538,ok
RacketSports,stl_tree,10,1,0.0,True,1,0.6201448602696893,0.2308,0.0068,0.2376,ok
RacketSports,stl_linear,10,1,0.0,True,2,0.5840641489153802,0.7077,0.0055,0.7132,ok
RacketSports,stl_tree,10,1,0.0,True,2,0.5969830955638069,0.2276,0.0055,0.2331,ok
RacketSports,stl_linear,10,1,0.0,True,3,0.6404497264021888,0.6161,0.006,0.6221,ok
RacketSports,stl_tree,10,1,0.0,True,3,0.6857435997654876,0.2221,0.006,0.2281,ok
RacketSports,stl_linear,10,1,0.0,True,4,0.4760443130740668,0.5667,0.0052,0.5719,ok
RacketSports,stl_tree,10,1,0.0,True,4,0.56031366034786,0.2282,0.0052,0.2334,ok
RacketSports,stl_linear,10,1,0.0,True,5,0.554295729919875,0.6803,0.0053,0.6856,ok
RacketSports,stl_tree,10,1,0.0,True,5,0.5405071330857925,0.211,0.0053,0.2163,ok
RacketSports,stl_linear,10,1,0.0,True,6,0.6584595466093415,0.5705,0.0049,0.5754,ok
RacketSports,stl_tree,10,1,0.0,True,6,0.5168055012702755,0.2148,0.0049,0.2197,ok
RacketSports,stl_linear,10,1,0.0,True,7,0.5889803595856947,0.6123,0.0069,0.6192,ok
RacketSports,stl_tree,10,1,0.0,True,7,0.646531170607778,0.2274,0.0069,0.2343,ok
RacketSports,stl_linear,10,1,0.0,True,8,0.626217754543678,0.7163,0.0054,0.7217,ok
RacketSports,stl_tree,10,1,0.0,True,8,0.6178388215751417,0.2171,0.0054,0.2225,ok
RacketSports,stl_linear,10,1,0.0,True,9,0.6085499316005472,0.7874,0.0056,0.793,ok
RacketSports,stl_tree,10,1,0.0,True,9,0.6771973324213407,0.218,0.0056,0.2236,ok
