dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,100,1,0.0,True,0,0.7292517588430721,1.0529,1.7062,2.7591,ok
RacketSports,stl_tree,100,1,0.0,True,0,0.7121189173343756,2.6267,1.7062,4.3329,ok
RacketSports,stl_linear,100,1,0.0,True,1,0.7976280046902482,1.0643,1.5549,2.6192,ok
RacketSports,stl_tree,100,1,0.0,True,1,0.7146081688489349,0.4976,1.5549,2.0525,ok
RacketSports,stl_linear,100,1,0.0,True,2,0.7920241352354895,1.1757,1.4943,2.67,ok
RacketSports,stl_tree,100,1,0.0,True,2,0.7387311901504787,0.4562,1.4943,1.9505,ok
RacketSports,stl_linear,100,1,0.0,True,3,0.7062219073675982,1.0525,0.0348,1.0873,ok
RacketSports,stl_tree,100,1,0.0,True,3,0.7363616376783272,0.4975,0.0348,0.5323,ok
RacketSports,stl_linear,100,1,0.0,True,4,0.7935790013679891,1.1336,0.0353,1.1689,ok
RacketSports,stl_tree,100,1,0.0,True,4,0.7171084131326949,0.5475,0.0353,0.5828,ok
RacketSports,stl_linear,100,1,0.0,True,5,0.7222566933750245,1.0506,0.034,1.0846,ok
RacketSports,stl_tree,100,1,0.0,True,5,0.677233974985343,0.4875,0.034,0.5215,ok
RacketSports,stl_linear,100,1,0.0,True,6,0.7549601817471174,1.0971,1.4471,2.5442,ok
RacketSports,stl_tree,100,1,0.0,True,6,0.699046071917139,0.4405,1.4471,1.8876,ok
RacketSports,stl_linear,100,1,0.0,True,7,0.7466313269493844,1.1426,2.1502,3.2928,ok
RacketSports,stl_tree,100,1,0.0,True,7,0.6561840433847957,0.4491,2.1502,2.5993,ok
RacketSports,stl_linear,100,1,0.0,True,8,0.7703231874145007,1.1431,0.788,1.9311,ok
RacketSports,stl_tree,100,1,0.0,True,8,0.7085841313269494,0.4532,0.788,1.2412,ok
RacketSports,stl_linear,100,1,0.0,True,9,0.7756644518272425,1.0764,0.0339,1.1103,ok
RacketSports,stl_tree,100,1,0.0,True,9,0.7370395251123705,0.5057,0.0339,0.5396,ok
