dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,1000,1,0.0,True,0,0.8000598495212038,1.8555,0.3347,2.1902,ok
RacketSports,stl_tree,1000,1,0.0,True,0,0.7184312096931795,4.1539,0.3347,4.4886,ok
RacketSports,stl_linear,1000,1,0.0,True,1,0.7486894176275161,1.9124,0.3115,2.2239,ok
RacketSports,stl_tree,1000,1,0.0,True,1,0.7835682528825483,1.9391,0.3115,2.2506,ok
RacketSports,stl_linear,1000,1,0.0,True,2,0.7946819425444597,1.7019,0.3096,2.0115,ok
RacketSports,stl_tree,1000,1,0.0,True,2,0.6900442153605628,1.9252,0.3096,2.2348,ok
RacketSports,stl_linear,1000,1,0.0,True,3,0.8250598495212038,1.8665,0.3046,2.1711,ok
RacketSports,stl_tree,1000,1,0.0,True,3,0.7601805256986515,1.9161,0.3046,2.2207,ok
RacketSports,stl_linear,1000,1,0.0,True,4,0.7905059116669924,1.8995,0.3147,2.2142,ok
RacketSports,stl_tree,1000,1,0.0,True,4,0.6982692495602891,1.9948,0.3147,2.3095,ok
RacketSports,stl_linear,1000,1,0.0,True,5,0.7879751319132304,1.8698,0.3078,2.1776,ok
RacketSports,stl_tree,1000,1,0.0,True,5,0.7787302130154388,1.948,0.3078,2.2558,ok
RacketSports,stl_linear,1000,1,0.0,True,6,0.787329001367989,1.8456,0.3087,2.1543,ok
RacketSports,stl_tree,1000,1,0.0,True,6,0.7141928864569083,1.9471,0.3087,2.2558,ok
RacketSports,stl_linear,1000,1,0.0,True,7,0.7563464920852061,2.0982,0.3083,2.4065,ok
RacketSports,stl_tree,1000,1,0.0,True,7,0.6683066249755716,1.9426,0.3083,2.2509,ok
RacketSports,stl_linear,1000,1,0.0,True,8,0.8161520422122337,1.8578,0.3073,2.1651,ok
RacketSports,stl_tree,1000,1,0.0,True,8,0.7608474203634942,1.8987,0.3073,2.206,ok
RacketSports,stl_linear,1000,1,0.0,True,9,0.7980640512018762,1.8158,0.3223,2.1381,ok
RacketSports,stl_tree,1000,1,0.0,True,9,0.704703683799101,1.954,0.3223,2.2763,ok
