dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,10000,1,0.0,True,0,0.7895715262849327,8.6889,3.2394,11.9283,ok
RacketSports,stl_tree,10000,1,0.0,True,0,0.6982851280046903,20.1197,3.2394,23.3591,ok
RacketSports,stl_linear,10000,1,0.0,True,1,0.811687756497948,8.8756,3.7899,12.6655,ok
RacketSports,stl_tree,10000,1,0.0,True,1,0.7313208422904045,17.7575,3.7899,21.5474,ok
RacketSports,stl_linear,10000,1,0.0,True,2,0.8450117256204808,9.0759,3.3869,12.4628,ok
RacketSports,stl_tree,10000,1,0.0,True,2,0.6974130349814345,17.7242,3.3869,21.1111,ok
RacketSports,stl_linear,10000,1,0.0,True,3,0.7667725229626734,8.1691,3.3955,11.5646,ok
RacketSports,stl_tree,10000,1,0.0,True,3,0.7455857924565175,17.415,3.3955,20.8105,ok
RacketSports,stl_linear,10000,1,0.0,True,4,0.8459045827633379,10.2197,3.421,13.6407,ok
RacketSports,stl_tree,10000,1,0.0,True,4,0.7329587649013093,17.6131,3.421,21.0341,ok
RacketSports,stl_linear,10000,1,0.0,True,5,0.8275698651553645,9.7339,3.2809,13.0148,ok
RacketSports,stl_tree,10000,1,0.0,True,5,0.690984707836623,17.6785,3.2809,20.9594,ok
RacketSports,stl_linear,10000,1,0.0,True,6,0.7784004299394175,9.0609,3.3029,12.3638,ok
RacketSports,stl_tree,10000,1,0.0,True,6,0.7604162595270666,18.0323,3.3029,21.3352,ok
RacketSports,stl_linear,10000,1,0.0,True,7,0.7833630545241352,8.66,3.2762,11.9362,ok
RacketSports,stl_tree,10000,1,0.0,True,7,0.728374780144616,17.5938,3.2762,20.87,ok
RacketSports,stl_linear,10000,1,0.0,True,8,0.8021130545241353,8.9769,3.382,12.3589,ok
RacketSports,stl_tree,10000,1,0.0,True,8,0.7330857924565174,16.8075,3.382,20.1895,ok
RacketSports,stl_linear,10000,1,0.0,True,9,0.8288987688098495,11.4797,3.3989,14.8786,ok
RacketSports,stl_tree,10000,1,0.0,True,9,0.7251648915380106,17.6031,3.3989,21.002,ok
