dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,100,2,0.0,True,0,0.7834900820793433,1.1116,0.6584,1.77,ok
RacketSports,stl_tree,100,2,0.0,True,0,0.6524599374633574,2.7679,0.6584,3.4263,ok
RacketSports,stl_linear,100,2,0.0,True,1,0.7325508110220833,0.9821,0.041,1.0231,ok
RacketSports,stl_tree,100,2,0.0,True,1,0.6989312585499317,0.4796,0.041,0.5206,ok
RacketSports,stl_linear,100,2,0.0,True,2,0.7605384014070744,1.058,0.043,1.101,ok
RacketSports,stl_tree,100,2,0.0,True,2,0.6787680769982412,0.4878,0.043,0.5308,ok
RacketSports,stl_linear,100,2,0.0,True,3,0.7120773890951729,0.9857,0.0408,1.0265,ok
RacketSports,stl_tree,100,2,0.0,True,3,0.7131375806136407,0.7479,0.0408,0.7887,ok
RacketSports,stl_linear,100,2,0.0,True,4,0.712702755520813,0.9973,0.0518,1.0491,ok
RacketSports,stl_tree,100,2,0.0,True,4,0.6695720148524527,0.5682,0.0518,0.62,ok
RacketSports,stl_linear,100,2,0.0,True,5,0.7339004787961696,1.1151,0.0443,1.1594,ok
RacketSports,stl_tree,100,2,0.0,True,5,0.6825544752784836,0.4709,0.0443,0.5152,ok
RacketSports,stl_linear,100,2,0.0,True,6,0.7564942837600157,0.9544,0.6093,1.5637,ok
RacketSports,stl_tree,100,2,0.0,True,6,0.5944779656048466,0.5231,0.6093,1.1324,ok
RacketSports,stl_linear,100,2,0.0,True,7,0.7040416748094587,1.0163,0.0403,1.0566,ok
RacketSports,stl_tree,100,2,0.0,True,7,0.7118294410787571,0.4634,0.0403,0.5037,ok
RacketSports,stl_linear,100,2,0.0,True,8,0.6920839847566933,1.2129,0.0399,1.2528,ok
RacketSports,stl_tree,100,2,0.0,True,8,0.6968609536837992,0.5197,0.0399,0.5596,ok
RacketSports,stl_linear,100,2,0.0,True,9,0.8000390854016025,0.9902,0.0419,1.0321,ok
RacketSports,stl_tree,100,2,0.0,True,9,0.6674345319523158,0.5164,0.0419,0.5583,ok
