dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,10000,2,0.0,True,0,0.8271179401993355,4.9719,4.3485,9.3204,ok
RacketSports,stl_tree,10000,2,0.0,True,0,0.7449860758256791,19.5443,4.3485,23.8928,ok
RacketSports,stl_linear,10000,2,0.0,True,1,0.8793604651162791,4.6116,4.111,8.7226,ok
RacketSports,stl_tree,10000,2,0.0,True,1,0.6675285811999218,16.6084,4.111,20.7194,ok
RacketSports,stl_linear,10000,2,0.0,True,2,0.853031561461794,5.2178,4.123,9.3408,ok
RacketSports,stl_tree,10000,2,0.0,True,2,0.7326338675004885,16.9535,4.123,21.0765,ok
RacketSports,stl_linear,10000,2,0.0,True,3,0.8614825581395349,4.8711,4.0515,8.9226,ok
RacketSports,stl_tree,10000,2,0.0,True,3,0.7429902775063515,16.9126,4.0515,20.9641,ok
RacketSports,stl_linear,10000,2,0.0,True,4,0.8144029704905218,4.8763,4.0748,8.9511,ok
RacketSports,stl_tree,10000,2,0.0,True,4,0.744093218682822,17.028,4.0748,21.1028,ok
RacketSports,stl_linear,10000,2,0.0,True,5,0.8506204807504397,5.869,3.8962,9.7652,ok
RacketSports,stl_tree,10000,2,0.0,True,5,0.6868086769591557,16.9889,3.8962,20.8851,ok
RacketSports,stl_linear,10000,2,0.0,True,6,0.8427325581395348,4.5953,4.1658,8.7611,ok
RacketSports,stl_tree,10000,2,0.0,True,6,0.7380484170412351,16.7746,4.1658,20.9404,ok
RacketSports,stl_linear,10000,2,0.0,True,7,0.8718023255813954,4.267,4.0407,8.3077,ok
RacketSports,stl_tree,10000,2,0.0,True,7,0.7045192495602892,17.3258,4.0407,21.3665,ok
RacketSports,stl_linear,10000,2,0.0,True,8,0.8306478405315615,5.1057,3.9861,9.0918,ok
RacketSports,stl_tree,10000,2,0.0,True,8,0.6951326460816886,17.3283,3.9861,21.3144,ok
RacketSports,stl_linear,10000,2,0.0,True,9,0.8295448993550909,4.643,4.0901,8.7331,ok
RacketSports,stl_tree,10000,2,0.0,True,9,0.7474704416650382,16.4631,4.0901,20.5532,ok
