dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,100,3,0.0,True,0,0.7683322747703734,1.0108,0.6337,1.6445,ok
RacketSports,stl_tree,100,3,0.0,True,0,0.6849289134258354,2.6732,0.6337,3.3069,ok
RacketSports,stl_linear,100,3,0.0,True,1,0.7792932870822749,1.2158,0.0502,1.266,ok
RacketSports,stl_tree,100,3,0.0,True,1,0.6078867011921048,0.5076,0.0502,0.5578,ok
RacketSports,stl_linear,100,3,0.0,True,2,0.7146936681649404,1.1688,0.0703,1.2391,ok
RacketSports,stl_tree,100,3,0.0,True,2,0.6385687414500685,0.4986,0.0703,0.5689,ok
RacketSports,stl_linear,100,3,0.0,True,3,0.7835682528825483,1.0639,0.0551,1.119,ok
RacketSports,stl_tree,100,3,0.0,True,3,0.719187267930428,0.469,0.0551,0.5241,ok
RacketSports,stl_linear,100,3,0.0,True,4,0.7459485538401407,1.1044,0.0507,1.1551,ok
RacketSports,stl_tree,100,3,0.0,True,4,0.6691042114520227,0.4552,0.0507,0.5059,ok
RacketSports,stl_linear,100,3,0.0,True,5,0.7745981532147743,1.0409,0.0933,1.1342,ok
RacketSports,stl_tree,100,3,0.0,True,5,0.727297488762947,0.4594,0.0933,0.5527,ok
RacketSports,stl_linear,100,3,0.0,True,6,0.7985208618331053,1.0053,0.0473,1.0526,ok
RacketSports,stl_tree,100,3,0.0,True,6,0.7224289134258354,0.4813,0.0473,0.5286,ok
RacketSports,stl_linear,100,3,0.0,True,7,0.7700972249364862,1.1975,0.0587,1.2562,ok
RacketSports,stl_tree,100,3,0.0,True,7,0.647250586281024,0.5288,0.0587,0.5875,ok
RacketSports,stl_linear,100,3,0.0,True,8,0.7772400820793434,1.0807,0.2149,1.2956,ok
RacketSports,stl_tree,100,3,0.0,True,8,0.6702804377564979,0.5154,0.2149,0.7303,ok
RacketSports,stl_linear,100,3,0.0,True,9,0.7721663083838186,1.0337,0.2661,1.2998,ok
RacketSports,stl_tree,100,3,0.0,True,9,0.7553376001563415,0.4972,0.2661,0.7633,ok
