dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,1000,3,0.0,True,0,0.8308738030095759,1.5034,0.4672,1.9706,ok
RacketSports,stl_tree,1000,3,0.0,True,0,0.6451705100644909,4.4008,0.4672,4.868,ok
RacketSports,stl_linear,1000,3,0.0,True,1,0.8847383720930233,1.4963,0.4658,1.9621,ok
RacketSports,stl_tree,1000,3,0.0,True,1,0.6977122825874537,2.0069,0.4658,2.4727,ok
RacketSports,stl_linear,1000,3,0.0,True,2,0.8009111784248584,1.5461,0.4649,2.011,ok
RacketSports,stl_tree,1000,3,0.0,True,2,0.6972188293922219,1.9386,0.4649,2.4035,ok
RacketSports,stl_linear,1000,3,0.0,True,3,0.8409627222982217,1.6277,0.46,2.0877,ok
RacketSports,stl_tree,1000,3,0.0,True,3,0.6668824506546804,1.9778,0.46,2.4378,ok
RacketSports,stl_linear,1000,3,0.0,True,4,0.8293397009966778,1.4736,0.4469,1.9205,ok
RacketSports,stl_tree,1000,3,0.0,True,4,0.6583691616181356,1.9143,0.4469,2.3612,ok
RacketSports,stl_linear,1000,3,0.0,True,5,0.8207848837209302,1.4814,0.4535,1.9349,ok
RacketSports,stl_tree,1000,3,0.0,True,5,0.7492146277115497,1.9724,0.4535,2.4259,ok
RacketSports,stl_linear,1000,3,0.0,True,6,0.7931478405315615,1.494,0.4508,1.9448,ok
RacketSports,stl_tree,1000,3,0.0,True,6,0.65593731678718,2.0194,0.4508,2.4702,ok
RacketSports,stl_linear,1000,3,0.0,True,7,0.830437756497948,1.465,0.4555,1.9205,ok
RacketSports,stl_tree,1000,3,0.0,True,7,0.7372544948211842,1.8849,0.4555,2.3404,ok
RacketSports,stl_linear,1000,3,0.0,True,8,0.8237309458667188,1.5029,0.4551,1.958,ok
RacketSports,stl_tree,1000,3,0.0,True,8,0.712217852257182,2.0298,0.4551,2.4849,ok
RacketSports,stl_linear,1000,3,0.0,True,9,0.8067458960328318,1.4267,0.4781,1.9048,ok
RacketSports,stl_tree,1000,3,0.0,True,9,0.6785726499902286,1.9943,0.4781,2.4724,ok
