dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,10,1,1.0,True,0,0.6493306624975572,0.6703,0.0432,0.7135,ok
RacketSports,stl_tree,10,1,1.0,True,0,0.5585328317373461,2.4199,0.0432,2.4631,ok
RacketSports,stl_linear,10,1,1.0,True,1,0.5421926910299003,0.6124,0.0166,0.629,ok
RacketSports,stl_tree,10,1,1.0,True,1,0.5862101817471175,0.2461,0.0166,0.2627,ok
RacketSports,stl_linear,10,1,1.0,True,2,0.5358962771154974,0.7406,0.0188,0.7594,ok
RacketSports,stl_tree,10,1,1.0,True,2,0.5199091264412742,0.2398,0.0188,0.2586,ok
RacketSports,stl_linear,10,1,1.0,True,3,0.563375757279656,0.6532,0.011,0.6642,ok
RacketSports,stl_tree,10,1,1.0,True,3,0.7168299296462771,0.2158,0.011,0.2268,ok
RacketSports,stl_linear,10,1,1.0,True,4,0.6037436486222396,0.6071,0.015,0.6221,ok
RacketSports,stl_tree,10,1,1.0,True,4,0.5936217510259918,0.2212,0.015,0.2362,ok
RacketSports,stl_linear,10,1,1.0,True,5,0.4607704709790893,0.5428,0.0142,0.557,ok
RacketSports,stl_tree,10,1,1.0,True,5,0.5568045241352355,0.2238,0.0142,0.238,ok
RacketSports,stl_linear,10,1,1.0,True,6,0.6484280340042994,0.729,0.0097,0.7387,ok
RacketSports,stl_tree,10,1,1.0,True,6,0.5521411471565371,0.2047,0.0097,0.2144,ok
RacketSports,stl_linear,10,1,1.0,True,7,0.6882865937072503,0.6194,0.0059,0.6253,ok
RacketSports,stl_tree,10,1,1.0,True,7,0.6497813660347861,0.2474,0.0059,0.2533,ok
RacketSports,stl_linear,10,1,1.0,True,8,0.6800615595075239,0.5774,0.0195,0.5969,ok
RacketSports,stl_tree,10,1,1.0,True,8,0.5462478014461598,0.2329,0.0195,0.2524,ok
RacketSports,stl_linear,10,1,1.0,True,9,0.6449469904240765,0.6257,0.0119,0.6376,ok
RacketSports,stl_tree,10,1,1.0,True,9,0.616358461989447,0.2259,0.0119,0.2378,ok
