dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,100,1,1.0,True,0,0.8107741352354896,1.0661,0.1485,1.2146,ok
RacketSports,stl_tree,100,1,1.0,True,0,0.7518822063709205,2.7305,0.1485,2.879,ok
RacketSports,stl_linear,100,1,1.0,True,1,0.8084900820793434,0.9274,0.1145,1.0419,ok
RacketSports,stl_tree,100,1,1.0,True,1,0.7042138948602698,0.4868,0.1145,0.6013,ok
RacketSports,stl_linear,100,1,1.0,True,2,0.7647400820793434,1.0575,0.1367,1.1942,ok
RacketSports,stl_tree,100,1,1.0,True,2,0.7108168848934923,0.4467,0.1367,0.5834,ok
RacketSports,stl_linear,100,1,1.0,True,3,0.7178705784639436,1.0619,0.1074,1.1693,ok
RacketSports,stl_tree,100,1,1.0,True,3,0.678468829392222,0.4335,0.1074,0.5409,ok
RacketSports,stl_linear,100,1,1.0,True,4,0.7363946159859293,0.9564,0.1221,1.0785,ok
RacketSports,stl_tree,100,1,1.0,True,4,0.734093462966582,0.444,0.1221,0.5661,ok
RacketSports,stl_linear,100,1,1.0,True,5,0.753610513973031,0.8753,0.1229,0.9982,ok
RacketSports,stl_tree,100,1,1.0,True,5,0.6796658198162986,0.4613,0.1229,0.5842,ok
RacketSports,stl_linear,100,1,1.0,True,6,0.7966362126245847,0.9897,0.1228,1.1125,ok
RacketSports,stl_tree,100,1,1.0,True,6,0.7662412057846394,0.4811,0.1228,0.6039,ok
RacketSports,stl_linear,100,1,1.0,True,7,0.7419984854406878,1.0896,0.0854,1.175,ok
RacketSports,stl_tree,100,1,1.0,True,7,0.6965519347273793,0.4563,0.0854,0.5417,ok
RacketSports,stl_linear,100,1,1.0,True,8,0.8041039671682626,1.0324,0.1209,1.1533,ok
RacketSports,stl_tree,100,1,1.0,True,8,0.5528495700605824,0.4789,0.1209,0.5998,ok
RacketSports,stl_linear,100,1,1.0,True,9,0.7718414109829979,1.0126,0.1103,1.1229,ok
RacketSports,stl_tree,100,1,1.0,True,9,0.7785152433066249,0.4372,0.1103,0.5475,ok
