dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,1000,1,1.0,True,0,0.8265988372093023,1.865,2.4524,4.3174,ok
RacketSports,stl_tree,1000,1,1.0,True,0,0.6169239788938832,4.4519,2.4524,6.9043,ok
RacketSports,stl_linear,1000,1,1.0,True,1,0.8438098495212039,1.4918,1.9544,3.4462,ok
RacketSports,stl_tree,1000,1,1.0,True,1,0.741640609732265,2.0513,1.9544,4.0057,ok
RacketSports,stl_linear,1000,1,1.0,True,2,0.842937756497948,1.7785,1.7136,3.4921,ok
RacketSports,stl_tree,1000,1,1.0,True,2,0.7589786495993747,2.0871,1.7136,3.8007,ok
RacketSports,stl_linear,1000,1,1.0,True,3,0.8358156634746923,1.6152,1.7848,3.4,ok
RacketSports,stl_tree,1000,1,1.0,True,3,0.6685948798123901,2.0687,1.7848,3.8535,ok
RacketSports,stl_linear,1000,1,1.0,True,4,0.8342766757865937,1.6685,1.7195,3.388,ok
RacketSports,stl_tree,1000,1,1.0,True,4,0.7813672562048074,2.0759,1.7195,3.7954,ok
RacketSports,stl_linear,1000,1,1.0,True,5,0.8187890854016026,1.7948,1.676,3.4708,ok
RacketSports,stl_tree,1000,1,1.0,True,5,0.7608632988078953,2.102,1.676,3.778,ok
RacketSports,stl_linear,1000,1,1.0,True,6,0.8560838870431894,1.9535,1.8665,3.82,ok
RacketSports,stl_tree,1000,1,1.0,True,6,0.7721504299394176,2.1058,1.8665,3.9723,ok
RacketSports,stl_linear,1000,1,1.0,True,7,0.8489617940199335,1.8714,1.8365,3.7079,ok
RacketSports,stl_tree,1000,1,1.0,True,7,0.7690932186828219,2.0769,1.8365,3.9134,ok
RacketSports,stl_linear,1000,1,1.0,True,8,0.8686046511627907,2.0293,1.7978,3.8271,ok
RacketSports,stl_tree,1000,1,1.0,True,8,0.6612944596443229,2.0808,1.7978,3.8786,ok
RacketSports,stl_linear,1000,1,1.0,True,9,0.787765047879617,1.8252,1.7367,3.5619,ok
RacketSports,stl_tree,1000,1,1.0,True,9,0.7297659761579051,2.1393,1.7367,3.876,ok
