dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,10000,1,1.0,True,0,0.8431478405315616,6.5419,15.0386,21.5805,ok
RacketSports,stl_tree,10000,1,1.0,True,0,0.790905315614618,20.7363,15.0386,35.7749,ok
RacketSports,stl_linear,10000,1,1.0,True,1,0.8661935704514364,6.0199,14.9963,21.0162,ok
RacketSports,stl_tree,10000,1,1.0,True,1,0.7510516415868673,17.4153,14.9963,32.4116,ok
RacketSports,stl_linear,10000,1,1.0,True,2,0.8623546511627906,6.873,14.1847,21.0577,ok
RacketSports,stl_tree,10000,1,1.0,True,2,0.7288889974594489,17.9108,14.1847,32.0955,ok
RacketSports,stl_linear,10000,1,1.0,True,3,0.873546511627907,6.4597,14.9392,21.3989,ok
RacketSports,stl_tree,10000,1,1.0,True,3,0.689109829978503,17.328,14.9392,32.2672,ok
RacketSports,stl_linear,10000,1,1.0,True,4,0.8752906976744186,6.4174,14.9694,21.3868,ok
RacketSports,stl_tree,10000,1,1.0,True,4,0.7129482606996287,17.4413,14.9694,32.4107,ok
RacketSports,stl_linear,10000,1,1.0,True,5,0.8382682724252492,5.9542,14.6191,20.5733,ok
RacketSports,stl_tree,10000,1,1.0,True,5,0.7266880007817081,18.113,14.6191,32.7321,ok
RacketSports,stl_linear,10000,1,1.0,True,6,0.8556686046511628,6.1755,14.859,21.0345,ok
RacketSports,stl_tree,10000,1,1.0,True,6,0.7534786007426226,17.5965,14.859,32.4555,ok
RacketSports,stl_linear,10000,1,1.0,True,7,0.8382267441860465,6.1532,14.377,20.5302,ok
RacketSports,stl_tree,10000,1,1.0,True,7,0.693673050615595,17.3814,14.377,31.7584,ok
RacketSports,stl_linear,10000,1,1.0,True,8,0.8757267441860466,6.3914,15.0974,21.4888,ok
RacketSports,stl_tree,10000,1,1.0,True,8,0.754140609732265,17.4878,15.0974,32.5852,ok
RacketSports,stl_linear,10000,1,1.0,True,9,0.8328488372093024,6.0377,14.719,20.7567,ok
RacketSports,stl_tree,10000,1,1.0,True,9,0.6766513582177057,17.8932,14.719,32.6122,ok
