dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,10,2,1.0,True,0,0.6716313269493844,0.7653,0.0426,0.8079,ok
RacketSports,stl_tree,10,2,1.0,True,0,0.6584424467461404,2.725,0.0426,2.7676,ok
RacketSports,stl_linear,10,2,1.0,True,1,0.5557296755911667,0.6117,0.0471,0.6588,ok
RacketSports,stl_tree,10,2,1.0,True,1,0.6229064881766659,0.2719,0.0471,0.319,ok
RacketSports,stl_linear,10,2,1.0,True,2,0.519358266562439,0.8064,0.0244,0.8308,ok
RacketSports,stl_tree,10,2,1.0,True,2,0.48465775845221803,0.2399,0.0244,0.2643,ok
RacketSports,stl_linear,10,2,1.0,True,3,0.5837172659761579,0.9111,0.0204,0.9315,ok
RacketSports,stl_tree,10,2,1.0,True,3,0.6294569572014852,0.2501,0.0204,0.2705,ok
RacketSports,stl_linear,10,2,1.0,True,4,0.5581554133281219,0.7059,0.0226,0.7285,ok
RacketSports,stl_tree,10,2,1.0,True,4,0.49206199921829197,0.261,0.0226,0.2836,ok
RacketSports,stl_linear,10,2,1.0,True,5,0.48776749071721714,0.7026,0.0139,0.7165,ok
RacketSports,stl_tree,10,2,1.0,True,5,0.5308701387531758,0.2756,0.0139,0.2895,ok
RacketSports,stl_linear,10,2,1.0,True,6,0.5724826558530389,0.7654,0.0134,0.7788,ok
RacketSports,stl_tree,10,2,1.0,True,6,0.5887104260308774,0.2308,0.0134,0.2442,ok
RacketSports,stl_linear,10,2,1.0,True,7,0.5683237248387727,0.6152,0.0135,0.6287,ok
RacketSports,stl_tree,10,2,1.0,True,7,0.6164830467070549,0.246,0.0135,0.2595,ok
RacketSports,stl_linear,10,2,1.0,True,8,0.6424943814735196,0.7786,0.0353,0.8139,ok
RacketSports,stl_tree,10,2,1.0,True,8,0.5794154289622826,0.2356,0.0353,0.2709,ok
RacketSports,stl_linear,10,2,1.0,True,9,0.7180965409419582,0.6707,0.0238,0.6945,ok
RacketSports,stl_tree,10,2,1.0,True,9,0.6561107582567911,0.2676,0.0238,0.2914,ok
