dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,100,2,1.0,True,0,0.7683481532147742,1.0475,0.1646,1.2121,ok
RacketSports,stl_tree,100,2,1.0,True,0,0.6920876490130936,2.8065,0.1646,2.9711,ok
RacketSports,stl_linear,100,2,1.0,True,1,0.7797500977135041,1.2106,0.2078,1.4184,ok
RacketSports,stl_tree,100,2,1.0,True,1,0.6499865643931992,0.501,0.2078,0.7088,ok
RacketSports,stl_linear,100,2,1.0,True,2,0.8250598495212038,1.1103,0.1825,1.2928,ok
RacketSports,stl_tree,100,2,1.0,True,2,0.6328500586281024,0.5586,0.1825,0.7411,ok
RacketSports,stl_linear,100,2,1.0,True,3,0.7640731874145007,1.0459,0.2719,1.3178,ok
RacketSports,stl_tree,100,2,1.0,True,3,0.5914732753566543,0.5156,0.2719,0.7875,ok
RacketSports,stl_linear,100,2,1.0,True,4,0.7220673734610124,1.1142,0.1628,1.277,ok
RacketSports,stl_tree,100,2,1.0,True,4,0.691079978503029,0.4868,0.1628,0.6496,ok
RacketSports,stl_linear,100,2,1.0,True,5,0.762843218682822,1.0886,0.254,1.3426,ok
RacketSports,stl_tree,100,2,1.0,True,5,0.6693411666992379,0.4841,0.254,0.7381,ok
RacketSports,stl_linear,100,2,1.0,True,6,0.7927069083447332,1.074,0.1818,1.2558,ok
RacketSports,stl_tree,100,2,1.0,True,6,0.6798184971663084,0.4753,0.1818,0.6571,ok
RacketSports,stl_linear,100,2,1.0,True,7,0.762077389095173,1.1002,0.1444,1.2446,ok
RacketSports,stl_tree,100,2,1.0,True,7,0.7199237834668751,0.4856,0.1444,0.63,ok
RacketSports,stl_linear,100,2,1.0,True,8,0.8134319425444596,1.1466,0.1473,1.2939,ok
RacketSports,stl_tree,100,2,1.0,True,8,0.7366413425835451,0.4811,0.1473,0.6284,ok
RacketSports,stl_linear,100,2,1.0,True,9,0.806515047879617,1.1139,0.2203,1.3342,ok
RacketSports,stl_tree,100,2,1.0,True,9,0.7385785128004692,0.4939,0.2203,0.7142,ok
