dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,1000,2,1.0,True,0,0.8207848837209302,1.7804,2.0101,3.7905,ok
RacketSports,stl_tree,1000,2,1.0,True,0,0.6911886847762361,4.553,2.0101,6.5631,ok
RacketSports,stl_linear,1000,2,1.0,True,1,0.8686046511627907,1.5078,1.8458,3.3536,ok
RacketSports,stl_tree,1000,2,1.0,True,1,0.763736075825679,1.9817,1.8458,3.8275,ok
RacketSports,stl_linear,1000,2,1.0,True,2,0.8724435704514364,1.5285,1.7811,3.3096,ok
RacketSports,stl_tree,1000,2,1.0,True,2,0.6744503615399648,2.012,1.7811,3.7931,ok
RacketSports,stl_linear,1000,2,1.0,True,3,0.847858852843463,1.6469,2.1028,3.7497,ok
RacketSports,stl_tree,1000,2,1.0,True,3,0.7168042798514754,2.0732,2.1028,4.176,ok
RacketSports,stl_linear,1000,2,1.0,True,4,0.8116669923783467,1.6125,2.0518,3.6643,ok
RacketSports,stl_tree,1000,2,1.0,True,4,0.7150808579245652,2.0394,2.0518,4.0912,ok
RacketSports,stl_linear,1000,2,1.0,True,5,0.8377906976744186,1.6521,1.8977,3.5498,ok
RacketSports,stl_tree,1000,2,1.0,True,5,0.6272926030877467,2.0653,1.8977,3.963,ok
RacketSports,stl_linear,1000,2,1.0,True,6,0.8127699335548173,1.4385,1.8755,3.314,ok
RacketSports,stl_tree,1000,2,1.0,True,6,0.7055220343951534,2.0319,1.8755,3.9074,ok
RacketSports,stl_linear,1000,2,1.0,True,7,0.8382267441860465,1.4877,1.7642,3.2519,ok
RacketSports,stl_tree,1000,2,1.0,True,7,0.7229638948602697,1.8932,1.7642,3.6574,ok
RacketSports,stl_linear,1000,2,1.0,True,8,0.8261627906976744,1.3731,1.7585,3.1316,ok
RacketSports,stl_tree,1000,2,1.0,True,8,0.7592876685557944,1.9395,1.7585,3.698,ok
RacketSports,stl_linear,1000,2,1.0,True,9,0.8431686046511628,1.4576,1.7441,3.2017,ok
RacketSports,stl_tree,1000,2,1.0,True,9,0.6550236955247215,1.9847,1.7441,3.7288,ok
