dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,10000,2,1.0,True,0,0.8474435704514364,5.4505,19.6976,25.1481,ok
RacketSports,stl_tree,10000,2,1.0,True,0,0.7536312780926324,20.157,19.6976,39.8546,ok
RacketSports,stl_linear,10000,2,1.0,True,1,0.8914244186046512,5.2639,19.5397,24.8036,ok
RacketSports,stl_tree,10000,2,1.0,True,1,0.6898500097713504,17.2195,19.5397,36.7592,ok
RacketSports,stl_linear,10000,2,1.0,True,2,0.8610465116279069,5.0863,19.2445,24.3308,ok
RacketSports,stl_tree,10000,2,1.0,True,2,0.7232484854406879,17.7683,19.2445,37.0128,ok
RacketSports,stl_linear,10000,2,1.0,True,3,0.8918604651162791,5.6856,18.4745,24.1601,ok
RacketSports,stl_tree,10000,2,1.0,True,3,0.7657526382646082,17.8448,18.4745,36.3193,ok
RacketSports,stl_linear,10000,2,1.0,True,4,0.8744186046511628,5.4454,19.7205,25.1659,ok
RacketSports,stl_tree,10000,2,1.0,True,4,0.6901333789329687,17.9542,19.7205,37.6747,ok
RacketSports,stl_linear,10000,2,1.0,True,5,0.8480689368770764,5.4226,19.9388,25.3614,ok
RacketSports,stl_tree,10000,2,1.0,True,5,0.7097811217510259,17.8252,19.9388,37.764,ok
RacketSports,stl_linear,10000,2,1.0,True,6,0.8677325581395349,5.0791,19.421,24.5001,ok
RacketSports,stl_tree,10000,2,1.0,True,6,0.8046340629274965,17.3191,19.421,36.7401,ok
RacketSports,stl_linear,10000,2,1.0,True,7,0.8502906976744187,5.3038,20.1254,25.4292,ok
RacketSports,stl_tree,10000,2,1.0,True,7,0.7047244479187023,17.2474,20.1254,37.3728,ok
RacketSports,stl_linear,10000,2,1.0,True,8,0.8265988372093023,5.6765,19.8269,25.5034,ok
RacketSports,stl_tree,10000,2,1.0,True,8,0.723952022669533,17.6235,19.8269,37.4504,ok
RacketSports,stl_linear,10000,2,1.0,True,9,0.8507267441860465,5.5223,20.1922,25.7145,ok
RacketSports,stl_tree,10000,2,1.0,True,9,0.714624047293336,17.4217,20.1922,37.6139,ok
