dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,10,3,1.0,True,0,0.6194205589212429,0.8278,0.2713,1.0991,ok
RacketSports,stl_tree,10,3,1.0,True,0,0.6296975767051006,2.98,0.2713,3.2513,ok
RacketSports,stl_linear,10,3,1.0,True,1,0.5120639534883721,0.7954,0.0284,0.8238,ok
RacketSports,stl_tree,10,3,1.0,True,1,0.5587380300957592,0.3096,0.0284,0.338,ok
RacketSports,stl_linear,10,3,1.0,True,2,0.5305403556771546,0.6513,0.1514,0.8027,ok
RacketSports,stl_tree,10,3,1.0,True,2,0.645485636114911,0.3117,0.1514,0.4631,ok
RacketSports,stl_linear,10,3,1.0,True,3,0.5035189075630252,0.8783,0.1838,1.0621,ok
RacketSports,stl_tree,10,3,1.0,True,3,0.5744882255227672,0.2914,0.1838,0.4752,ok
RacketSports,stl_linear,10,3,1.0,True,4,0.7130276529216337,0.8003,0.021,0.8213,ok
RacketSports,stl_tree,10,3,1.0,True,4,0.7045558921242916,0.3306,0.021,0.3516,ok
RacketSports,stl_linear,10,3,1.0,True,5,0.6029033124877858,0.824,0.0222,0.8462,ok
RacketSports,stl_tree,10,3,1.0,True,5,0.6589627711549737,0.2939,0.0222,0.3161,ok
RacketSports,stl_linear,10,3,1.0,True,6,0.7034859292554231,1.0257,0.0156,1.0413,ok
RacketSports,stl_tree,10,3,1.0,True,6,0.6497447234707836,0.316,0.0156,0.3316,ok
RacketSports,stl_linear,10,3,1.0,True,7,0.5140487590384991,0.7541,0.0318,0.7859,ok
RacketSports,stl_tree,10,3,1.0,True,7,0.5279643834277897,0.3122,0.0318,0.344,ok
RacketSports,stl_linear,10,3,1.0,True,8,0.5861796462771154,0.9851,0.0378,1.0229,ok
RacketSports,stl_tree,10,3,1.0,True,8,0.6939893980848153,0.3051,0.0378,0.3429,ok
RacketSports,stl_linear,10,3,1.0,True,9,0.5432296755911667,0.7603,0.017,0.7773,ok
RacketSports,stl_tree,10,3,1.0,True,9,0.5258012507328513,0.3428,0.017,0.3598,ok
