dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,stl_linear,100,3,1.0,True,0,0.7770141196013289,1.317,0.3513,1.6683,ok
RacketSports,stl_tree,100,3,1.0,True,0,0.6743257768223568,3.3525,0.3513,3.7038,ok
RacketSports,stl_linear,100,3,1.0,True,1,0.7627442837600156,1.3101,0.3129,1.623,ok
RacketSports,stl_tree,100,3,1.0,True,1,0.647750146570256,0.5398,0.3129,0.8527,ok
RacketSports,stl_linear,100,3,1.0,True,2,0.7776761285909712,1.2857,0.3039,1.5896,ok
RacketSports,stl_tree,100,3,1.0,True,2,0.707686388508892,0.6016,0.3039,0.9055,ok
RacketSports,stl_linear,100,3,1.0,True,3,0.7457592339261285,1.3173,0.4075,1.7248,ok
RacketSports,stl_tree,100,3,1.0,True,3,0.6980799296462772,0.5545,0.4075,0.962,ok
RacketSports,stl_linear,100,3,1.0,True,4,0.7520092339261286,1.308,0.2857,1.5937,ok
RacketSports,stl_tree,100,3,1.0,True,4,0.6974130349814345,0.5695,0.2857,0.8552,ok
RacketSports,stl_linear,100,3,1.0,True,5,0.7996030388899746,1.229,0.335,1.564,ok
RacketSports,stl_tree,100,3,1.0,True,5,0.7673807895251124,0.5597,0.335,0.8947,ok
RacketSports,stl_linear,100,3,1.0,True,6,0.7631852159468437,1.2424,0.2898,1.5322,ok
RacketSports,stl_tree,100,3,1.0,True,6,0.69281195036154,0.5003,0.2898,0.7901,ok
RacketSports,stl_linear,100,3,1.0,True,7,0.8088198651553644,1.1582,0.225,1.3832,ok
RacketSports,stl_tree,100,3,1.0,True,7,0.6351707543482509,0.5404,0.225,0.7654,ok
RacketSports,stl_linear,100,3,1.0,True,8,0.7772400820793434,1.2485,0.2607,1.5092,ok
RacketSports,stl_tree,100,3,1.0,True,8,0.7264205100644909,0.5663,0.2607,0.827,ok
RacketSports,stl_linear,100,3,1.0,True,9,0.7790832030486613,1.2641,0.3269,1.591,ok
RacketSports,stl_tree,100,3,1.0,True,9,0.7061840433847958,0.5178,0.3269,0.8447,ok
